id	nev	tipus	megye	orszag
106	Zirc	város	Veszprém	
107	Esztergom	város	Komárom-Esztergom	
108	Szigetszentmárton	község	Pest	
109	Ócsa	város	Pest	
110	Csoma	község	Somogy	
111	Szántód	község	Somogy	
112	Dorog	város	Komárom-Esztergom	
113	Szekszárd	megyeszékhely	Tolna	
114	Révfülöp	nagyközség	Veszprém	
115	Pilismarót	község	Komárom-Esztergom	
116	Hajdúnánás	város	Hajdú-Bihar	
117	Borsodszirák	község	Borsod-Abaúj-Zemplén	
118	Tapolca	város	Veszprém	
119	Piliscsaba	város	Pest	
120	Wilkau	község		Lengyelország
121	Kiskőrös	város	Bács-Kiskun	
122	Isaszeg	város	Pest	
123	Tápiószele	város	Pest	
124	Győr	megyeszékhely	Győr-Moson-Sopron	
125	Tolna-Mözs	község	Tolna	
126	Úrkút	község	Veszprém	
127	Felsőtárkány	község	Heves	
128	Maglód	város	Pest	
129	Pécel	város	Pest	
130	Juta	község	Somogy	
131	Csolnok	község	Komárom-Esztergom	
132	Cegléd	város	Pest	
133	Sáránd	község	Hajdú-Bihar	
134	Enying	város	Fejér	
135	Diósjenő	község	Nógrád	
136	Üllő	város	Pest	
137	Taksony	nagyközség	Pest	
138	Solymár	nagyközség	Pest	
139	Szigethalom	város	Pest	
140	Kisújszállás	város	Jász-Nagykun-Szolnok	
141	Fót	város	Pest	
142	Besenyőtelek	község	Heves	
143	Ostoros	község	Heves	
144	Cserszegtomaj	község	Zala	
145	Tinnye	község	Pest	
146	Kompolt	község	Heves	
147	Hajdúsámson	város	Hajdú-Bihar	
148	Egerszalók	község	Heves	
149	Mezőkövesd	város	Borsod-Abaúj-Zemplén	
150	Bag	nagyközség	Pest	
151	Kapuvár	város	Győr-Moson-Sopron	
152	Orosháza	város	Békés	
153	Kölesd	község	Tolna	
154	Bonyhád	város	Tolna	
155	Békéscsaba	megyeszékhely	Békés	
156	Nagykőrös	város	Pest	
157	Császár	község	Komárom-Esztergom	
158	Gyál	város	Pest	
159	Tiszalök	város	Szabolcs-Szatmár	
160	Balatonboglár	város	Somogy	
161	Tószeg	község	Jász-Nagykun-Szolnok	
162	Ecser	község	Pest	
163	Hajdúszoboszló	város	Hajdú-Bihar	
164	Dombóvár	város	Tolna	
165	Szentendre	város	Pest	
166	Aszód	város	Pest	
167	Vilonya	község	Veszprém	
168	Dabas	város	Pest	
169	Vönöck	község	Vas	
170	Tamási	város	Tolna	
171	Mór	város	Fejér	
172	Tata	város	Komárom-Esztergom	
173	Trhová Hradská	község		Szlovákia
174	Sárszentmihály	község	Fejér	
175	Hajmáskér	község	Veszprém	
176	Teleki	község	Somogy	
177	Gomba	község	Pest	
178	Mosonmagyaróvár	város	Győr-Moson-Sopron	
179	Biatorbágy	város	Pest	
180	Mogyoród	nagyközség	Pest	
181	Pitvaros	község	Csongrád	
182	Bódvaszilas	község	Borsod-Abaúj-Zemplén	
183	Kassa	város		Szlovákia
184	Őrbottyán	város	Pest	
185	Albertirsa	város	Pest	
186	Káld	község	Vas	
187	Zebegény	község	Pest	
188	Fertőd	város	Győr-Moson-Sopron	
189	Törökbálint	város	Pest	
190	Pomáz	város	Pest	
191	Budakalász	város	Pest	
192	Márkó	község	Veszprém	
193	Tevel	község	Tolna	
194	Alsónémedi	nagyközség	Pest	
195	Nagyhajmás	község	Baranya	
196	Tiegem	község		Belgium
197	Willebroek	város		Belgium
198	Vichte	község		Belgium
199	Bukhara	város		Üzbegisztán
200	Mezőkeresztes	város	Borsod-Abaúj-Zemplén	
201	Bükkzsérc	község	Borsod-Abaúj-Zemplén	
202	Pilisszentlászló	község	Pest	
203	Siklós	város	Baranya	
204	Tabajd	község	Fejér	
205	Pilisvörösvár	város	Pest	
206	Balkány	város	Szabolcs-Szatmár	
207	Telki	község	Pest	
209	Köbölkút	község		Szlovákia
210	Domoszló	község	Heves	
211	Diósd	város	Pest	
212	Szentkirályszabadja	község	Veszprém	
213	Szemenye	község	Vas	
214	Kerepes	város	Pest	
215	Dunaföldvár	város	Tolna	
216	Apagy	község	Szabolcs-Szatmár	
217	Monor	város	Pest	
218	Győrszentiván	község	Győr-Moson-Sopron	
219	Szőreg	község		
220	Hőgyész	nagyközség	Tolna	
221	Nemesvámos	község	Veszprém	
222	Baja	város	Bács-Kiskun	
223	Jászszentandrás	község	Jász-Nagykun-Szolnok	
224	Vértesszőlős	község	Komárom-Esztergom	
225	Füzesabony	város	Heves	
226	Nagyberki	község	Somogy	
227	Lesencetomaj	község	Veszprém	
228	Perenye	község	Vas	
229	Szendehely	község	Nógrád	
230	Iregszemcse	község	Tolna	
231	Pásztó	város	Nógrád	
232	Iklad	község	Pest	
233	Mezőtúr	város	Jász-Nagykun-Szolnok	
234	Markaz	község	Heves	
235	Szikszó	város	Borsod-Abaúj-Zemplén	
236	Kesztölc	község	Komárom-Esztergom	
237	Tótkomlós	város	Békés	
238	Nyírábrány	nagyközség	Hajdú-Bihar	
239	Csévharaszt	község	Pest	
240	Gyula	város	Békés	
241	Martonvásár	város	Fejér	
242	Márkháza	község	Nógrád	
243	Sződliget	község	Pest	
244	Dorogháza	község	Nógrád	
245	Bana	község	Komárom-Esztergom	
246	Kunszentmárton	város	Jász-Nagykun-Szolnok	
247	Sárisáp	község	Komárom-Esztergom	
248	Rotterdam	város		Hollandia
249	Nagykereki	község	Hajdú-Bihar	
250	Marcali	város	Somogy	
251	Hegymagas	község	Veszprém	
252	Nemesszalók	község	Veszprém	
253	Bajna	község	Komárom-Esztergom	
254	Barabás	község	Szabolcs-Szatmár	
255	Tápióbicske	község	Pest	
256	Tápiógyörgye	község	Pest	
257	Budakeszi	város	Pest	
258	Mátészalka	város	Szabolcs-Szatmár	
259	Üllés	község	Csongrád	
260	Nadap	község	Fejér	
261	Solt	város	Bács-Kiskun	
262	Kisvárda	város	Szabolcs-Szatmár	
263	Csörög	község	Pest	
265	Jászberény	város	Jász-Nagykun-Szolnok	
266	Putnok	város	Borsod-Abaúj-Zemplén	
267	Szerencs	város	Borsod-Abaúj-Zemplén	
268	Kecel	város	Bács-Kiskun	
269	Darnózseli	község	Győr-Moson-Sopron	
270	Kerepestarcsa	község	Pest	
271	Keszthely	város	Zala	
272	Hódmezővásárhely	megyei jogú város	Csongrád	
273	Berettyóújfalu	város	Hajdú-Bihar	
274	Levél	község	Győr-Moson-Sopron	
275	Óbecse	város		Szerbia
276	Mezőberény	város	Békés	
