diakid	datum	ertek	tipus	targyid
257	2010.09.17	5	szóbeli felelet	13
266	2010.09.17	4	röpdolgozat	13
272	2010.09.17	5	röpdolgozat	13
272	2010.09.17	5	szóbeli felelet	13
272	2010.09.17	5	röpdolgozat	13
267	2010.09.17	4	röpdolgozat	13
267	2010.09.17	5	röpdolgozat	13
267	2010.09.17	5	röpdolgozat	13
268	2010.09.17	4	röpdolgozat	13
268	2010.09.17	5	röpdolgozat	13
268	2010.09.17	3	röpdolgozat	13
140	2010.09.17	4	röpdolgozat	13
205	2010.09.17	4	röpdolgozat	13
205	2010.09.17	3	szóbeli felelet	13
205	2010.09.17	4	szóbeli felelet	13
108	2010.09.17	4	szóbeli felelet	13
108	2010.09.17	4	röpdolgozat	13
128	2010.09.17	4	röpdolgozat	13
128	2010.09.17	5	röpdolgozat	13
128	2010.09.17	5	szóbeli felelet	13
183	2010.09.17	4	röpdolgozat	13
183	2010.09.17	5	röpdolgozat	13
155	2010.09.17	5	röpdolgozat	13
155	2010.09.17	5	szóbeli felelet	13
113	2010.09.17	3	röpdolgozat	13
129	2010.09.17	5	szóbeli felelet	13
129	2010.09.17	4	röpdolgozat	13
103	2010.09.17	5	szóbeli felelet	13
103	2010.09.17	4	röpdolgozat	13
103	2010.09.17	5	röpdolgozat	13
160	2010.09.17	3	szóbeli felelet	13
160	2010.09.17	2	röpdolgozat	13
150	2010.09.17	5	röpdolgozat	13
150	2010.09.17	5	röpdolgozat	13
193	2010.09.17	5	röpdolgozat	13
193	2010.09.17	4	szóbeli felelet	13
193	2010.09.17	5	szóbeli felelet	13
111	2010.09.17	4	szóbeli felelet	13
111	2010.09.17	5	szóbeli felelet	13
111	2010.09.17	4	röpdolgozat	13
172	2010.09.17	5	röpdolgozat	13
172	2010.09.17	4	röpdolgozat	13
172	2010.09.17	5	röpdolgozat	13
158	2010.09.17	4	szóbeli felelet	6
116	2010.09.17	5	szóbeli felelet	6
176	2010.09.17	4	szóbeli felelet	6
117	2010.09.17	5	szóbeli felelet	6
180	2010.09.17	4	szóbeli felelet	6
164	2010.09.17	4	szóbeli felelet	6
159	2010.09.17	2	szóbeli felelet	6
210	2010.09.17	5	szóbeli felelet	6
185	2010.09.17	5	szóbeli felelet	6
128	2010.09.17	3	szóbeli felelet	6
107	2010.09.17	3	szóbeli felelet	6
134	2010.09.17	2	szóbeli felelet	6
155	2010.09.17	5	szóbeli felelet	6
121	2010.09.17	5	szóbeli felelet	6
113	2010.09.17	3	szóbeli felelet	6
208	2010.09.17	4	szóbeli felelet	6
190	2010.09.17	5	szóbeli felelet	6
184	2010.09.17	5	szóbeli felelet	6
209	2010.09.17	4	szóbeli felelet	6
196	2010.09.17	2	szóbeli felelet	6
199	2010.09.17	5	szóbeli felelet	6
162	2010.09.17	4	szóbeli felelet	6
166	2010.09.17	5	szóbeli felelet	6
149	2010.09.17	2	szóbeli felelet	6
173	2010.09.17	2	szóbeli felelet	6
195	2010.09.17	3	szóbeli felelet	6
160	2010.09.17	1	szóbeli felelet	6
163	2010.09.17	5	szóbeli felelet	6
124	2010.09.17	5	szóbeli felelet	6
111	2010.09.17	4	szóbeli felelet	6
174	2010.09.17	4	szóbeli felelet	6
131	2010.09.17	5	szóbeli felelet	6
132	2010.09.17	5	szóbeli felelet	6
106	2010.09.17	3	szóbeli felelet	6
172	2010.09.17	5	szóbeli felelet	6
297	2010.09.17	5	órai munka	5
298	2010.09.17	5	órai munka	5
255	2010.09.17	5	órai munka	5
228	2010.09.17	5	órai munka	5
174	2010.09.17	5	szóbeli felelet	3
230	2010.09.19	4	témazáró dolgozat	12
296	2010.09.19	4	témazáró dolgozat	12
300	2010.09.19	4	témazáró dolgozat	12
294	2010.09.19	4	témazáró dolgozat	12
389	2010.09.20	2	szóbeli felelet	6
402	2010.09.20	5	röpdolgozat	12
345	2010.09.20	4	röpdolgozat	12
329	2010.09.20	5	röpdolgozat	12
347	2010.09.20	3	röpdolgozat	12
328	2010.09.20	3	röpdolgozat	12
339	2010.09.20	3	röpdolgozat	12
365	2010.09.20	3	röpdolgozat	12
418	2010.09.20	4	röpdolgozat	12
398	2010.09.20	2	röpdolgozat	12
371	2010.09.20	3	röpdolgozat	12
366	2010.09.20	4	röpdolgozat	12
364	2010.09.20	4	röpdolgozat	12
356	2010.09.20	4	röpdolgozat	12
235	2010.09.20	3	témazáró dolgozat	12
302	2010.09.20	3	témazáró dolgozat	12
287	2010.09.20	3	témazáró dolgozat	12
218	2010.09.20	4	szóbeli felelet	10
409	2010.09.20	4	szóbeli felelet	4
347	2010.09.20	4	szóbeli felelet	4
390	2010.09.20	4	szóbeli felelet	4
78	2010.09.20	5	szóbeli felelet	10
360	2010.09.20	5	szóbeli felelet	11
324	2010.09.20	5	szóbeli felelet	11
288	2010.09.20	5	szóbeli felelet	7
294	2010.09.20	5	szóbeli felelet	7
325	2010.09.20	5	órai munka	12
337	2010.09.20	5	órai munka	12
378	2010.09.20	5	órai munka	12
351	2010.09.20	5	órai munka	12
406	2010.09.20	5	órai munka	12
238	2010.09.20	5	szóbeli felelet	7
296	2010.09.20	5	szóbeli felelet	7
333	2010.09.20	5	órai munka	12
391	2010.09.20	5	órai munka	12
390	2010.09.20	5	órai munka	12
100	2010.09.20	5	témazáró dolgozat	14
70	2010.09.20	4	témazáró dolgozat	14
48	2010.09.20	5	témazáró dolgozat	14
1	2010.09.20	4	témazáró dolgozat	14
34	2010.09.20	5	témazáró dolgozat	14
333	2010.09.20	4	témazáró dolgozat	14
422	2010.09.20	5	témazáró dolgozat	14
318	2010.09.20	4	szóbeli felelet	4
286	2010.09.20	5	szóbeli felelet	4
31	2010.09.20	5	szóbeli felelet	4
80	2010.09.20	5	szóbeli felelet	4
358	2010.09.20	5	témazáró dolgozat	14
423	2010.09.20	5	témazáró dolgozat	14
391	2010.09.20	5	témazáró dolgozat	14
346	2010.09.20	5	témazáró dolgozat	14
334	2010.09.20	5	témazáró dolgozat	14
421	2010.09.20	5	témazáró dolgozat	14
390	2010.09.20	5	témazáró dolgozat	14
368	2010.09.20	5	témazáró dolgozat	14
333	2010.09.20	4	szóbeli felelet	3
329	2010.09.20	5	szóbeli felelet	19
188	2010.09.20	4	szóbeli felelet	14
112	2010.09.20	5	szóbeli felelet	14
418	2010.09.20	4	röpdolgozat	14
325	2010.09.20	4	röpdolgozat	14
370	2010.09.20	4	röpdolgozat	14
412	2010.09.20	5	röpdolgozat	14
337	2010.09.20	3	röpdolgozat	14
378	2010.09.20	5	röpdolgozat	14
406	2010.09.20	5	röpdolgozat	14
410	2010.09.20	5	röpdolgozat	14
364	2010.09.20	5	röpdolgozat	14
354	2010.09.20	5	röpdolgozat	14
351	2010.09.20	5	röpdolgozat	14
347	2010.09.20	5	röpdolgozat	14
366	2010.09.20	5	röpdolgozat	14
374	2010.09.20	5	röpdolgozat	14
339	2010.09.20	5	röpdolgozat	14
383	2010.09.20	5	röpdolgozat	14
365	2010.09.20	4	szóbeli felelet	4
128	2010.09.20	5	szóbeli felelet	13
150	2010.09.20	5	szóbeli felelet	13
172	2010.09.20	4	szóbeli felelet	13
140	2010.09.20	4	szóbeli felelet	13
105	2010.09.20	4	röpdolgozat	13
129	2010.09.20	4	szóbeli felelet	13
345	2010.09.20	5	röpdolgozat	3
354	2010.09.20	1	röpdolgozat	3
368	2010.09.20	5	röpdolgozat	3
324	2010.09.20	5	röpdolgozat	3
56	2010.09.20	5	röpdolgozat	4
28	2010.09.20	3	röpdolgozat	4
50	2010.09.20	5	röpdolgozat	4
54	2010.09.20	4	röpdolgozat	4
333	2010.09.21	2	szóbeli felelet	6
401	2010.09.21	5	órai munka	12
215	2010.09.21	5	szóbeli felelet	7
311	2010.09.21	5	szóbeli felelet	7
255	2010.09.21	5	szóbeli felelet	7
228	2010.09.21	5	szóbeli felelet	7
301	2010.09.21	5	szóbeli felelet	7
298	2010.09.21	5	szóbeli felelet	7
249	2010.09.21	5	szóbeli felelet	7
369	2010.09.21	5	szóbeli felelet	14
377	2010.09.21	5	szóbeli felelet	14
289	2010.09.21	4	szóbeli felelet	7
292	2010.09.21	4	szóbeli felelet	7
292	2010.09.21	5	szóbeli felelet	7
290	2010.09.21	5	szóbeli felelet	7
271	2010.09.21	5	szóbeli felelet	7
303	2010.09.21	5	szóbeli felelet	7
267	2010.09.21	5	szóbeli felelet	7
264	2010.09.21	5	szóbeli felelet	7
275	2010.09.21	5	szóbeli felelet	7
309	2010.09.21	4	témazáró dolgozat	16
215	2010.09.21	4	témazáró dolgozat	16
114	2010.09.21	5	röpdolgozat	12
104	2010.09.21	5	röpdolgozat	12
140	2010.09.21	3	röpdolgozat	12
116	2010.09.21	5	röpdolgozat	12
146	2010.09.21	5	röpdolgozat	12
180	2010.09.21	4	röpdolgozat	12
128	2010.09.21	5	röpdolgozat	12
137	2010.09.21	5	röpdolgozat	12
175	2010.09.21	5	röpdolgozat	12
155	2010.09.21	5	röpdolgozat	12
167	2010.09.21	5	röpdolgozat	12
209	2010.09.21	4	röpdolgozat	12
144	2010.09.21	5	röpdolgozat	12
156	2010.09.21	4	röpdolgozat	12
132	2010.09.21	4	röpdolgozat	12
106	2010.09.21	4	röpdolgozat	12
302	2010.09.21	5	témazáró dolgozat	16
178	2010.09.21	4	röpdolgozat	12
184	2010.09.21	5	röpdolgozat	12
179	2010.09.21	5	röpdolgozat	12
199	2010.09.21	5	röpdolgozat	12
195	2010.09.21	5	röpdolgozat	12
143	2010.09.21	4	röpdolgozat	12
202	2010.09.21	5	röpdolgozat	12
178	2010.09.21	5	röpdolgozat	12
7	2010.09.21	5	röpdolgozat	17
2	2010.09.21	5	röpdolgozat	17
82	2010.09.21	1	röpdolgozat	17
47	2010.09.21	5	röpdolgozat	17
78	2010.09.21	3	röpdolgozat	17
88	2010.09.21	3	röpdolgozat	17
63	2010.09.21	4	röpdolgozat	17
62	2010.09.21	5	röpdolgozat	17
19	2010.09.21	5	röpdolgozat	17
121	2010.09.21	5	szóbeli felelet	11
166	2010.09.21	5	szóbeli felelet	11
187	2010.09.21	5	röpdolgozat	17
118	2010.09.21	5	röpdolgozat	17
203	2010.09.21	5	röpdolgozat	17
210	2010.09.21	3	röpdolgozat	17
135	2010.09.21	4	röpdolgozat	17
138	2010.09.21	3	röpdolgozat	17
107	2010.09.21	4	röpdolgozat	17
209	2010.09.21	4	röpdolgozat	17
173	2010.09.21	3	röpdolgozat	17
163	2010.09.21	5	röpdolgozat	17
376	2010.09.21	5	szóbeli felelet	11
18	2010.09.21	5	szóbeli felelet	13
124	2010.09.21	5	szóbeli felelet	3
163	2010.09.21	4	szóbeli felelet	10
185	2010.09.21	5	röpdolgozat	10
199	2010.09.21	5	röpdolgozat	10
124	2010.09.21	5	röpdolgozat	10
106	2010.09.21	5	röpdolgozat	10
172	2010.09.21	5	röpdolgozat	10
131	2010.09.21	4	röpdolgozat	10
105	2010.09.21	4	szóbeli felelet	13
105	2010.09.21	5	szóbeli felelet	13
111	2010.09.21	4	szóbeli felelet	13
111	2010.09.21	5	szóbeli felelet	13
262	2010.09.21	4	szóbeli felelet	13
262	2010.09.21	5	szóbeli felelet	13
251	2010.09.21	4	szóbeli felelet	13
267	2010.09.21	4	szóbeli felelet	13
267	2010.09.21	5	szóbeli felelet	13
350	2010.09.21	5	röpdolgozat	5
380	2010.09.21	5	röpdolgozat	5
413	2010.09.21	3	röpdolgozat	5
376	2010.09.21	4	röpdolgozat	5
361	2010.09.21	4	röpdolgozat	5
394	2010.09.21	4	röpdolgozat	5
322	2010.09.21	4	röpdolgozat	5
340	2010.09.21	4	röpdolgozat	5
320	2010.09.21	4	röpdolgozat	5
420	2010.09.21	4	röpdolgozat	5
389	2010.09.21	3	röpdolgozat	5
385	2010.09.21	5	röpdolgozat	5
372	2010.09.21	3	röpdolgozat	5
414	2010.09.21	3	röpdolgozat	5
323	2010.09.21	5	röpdolgozat	5
402	2010.09.21	5	röpdolgozat	5
381	2010.09.21	3	röpdolgozat	5
374	2010.09.21	5	röpdolgozat	5
391	2010.09.21	4	röpdolgozat	5
338	2010.09.21	4	röpdolgozat	5
325	2010.09.21	5	röpdolgozat	5
395	2010.09.21	3	röpdolgozat	5
383	2010.09.21	4	röpdolgozat	5
418	2010.09.21	5	röpdolgozat	5
386	2010.09.21	4	röpdolgozat	5
410	2010.09.21	4	röpdolgozat	5
371	2010.09.21	3	röpdolgozat	5
335	2010.09.21	4	röpdolgozat	5
378	2010.09.21	4	röpdolgozat	5
351	2010.09.21	4	röpdolgozat	5
412	2010.09.21	4	röpdolgozat	5
406	2010.09.21	3	röpdolgozat	5
221	2010.09.21	4	témazáró dolgozat	14
254	2010.09.21	4	témazáró dolgozat	14
255	2010.09.21	4	témazáró dolgozat	14
305	2010.09.21	4	témazáró dolgozat	14
237	2010.09.21	4	témazáró dolgozat	14
213	2010.09.21	4	témazáró dolgozat	14
43	2010.09.22	5	szóbeli felelet	4
12	2010.09.22	5	szóbeli felelet	4
64	2010.09.22	5	szóbeli felelet	4
88	2010.09.22	5	szóbeli felelet	4
404	2010.09.22	3	szóbeli felelet	4
289	2010.09.22	5	témazáró dolgozat	17
318	2010.09.22	1	órai munka	6
316	2010.09.22	5	röpdolgozat	12
289	2010.09.22	5	röpdolgozat	12
290	2010.09.22	5	röpdolgozat	12
308	2010.09.22	5	röpdolgozat	12
303	2010.09.22	5	röpdolgozat	12
229	2010.09.22	5	röpdolgozat	12
318	2010.09.22	5	röpdolgozat	12
267	2010.09.22	5	röpdolgozat	12
268	2010.09.22	5	röpdolgozat	12
240	2010.09.22	5	röpdolgozat	12
319	2010.09.22	5	röpdolgozat	12
262	2010.09.22	5	röpdolgozat	12
216	2010.09.22	5	röpdolgozat	12
253	2010.09.22	4	röpdolgozat	12
288	2010.09.22	4	röpdolgozat	12
238	2010.09.22	5	röpdolgozat	12
215	2010.09.22	4	röpdolgozat	12
244	2010.09.22	5	röpdolgozat	12
181	2010.09.22	5	röpdolgozat	12
41	2010.09.22	5	röpdolgozat	5
31	2010.09.22	5	röpdolgozat	5
6	2010.09.22	2	röpdolgozat	5
80	2010.09.22	2	röpdolgozat	5
102	2010.09.22	3	röpdolgozat	5
53	2010.09.22	4	röpdolgozat	5
83	2010.09.22	5	röpdolgozat	5
212	2010.09.22	4	röpdolgozat	5
