utonev;elso;masodik;ujsz_1;ujsz_2;nem
GYÕZÕ;5833;1614;;;F
GYULA;81801;12701;131;88;F
HAJNALKA;24761;3097;;;N
HANNA;;;460;90;N
HENRIETTA;11347;827;148;24;N
HENRIK;3439;719;;;F
HUNOR;;;116;23;F
IBOLYA;44597;7665;;;N
IDA;11602;1745;;;N
IGNÁC;2452;576;;;F
ILDIKÓ;89513;11226;;;N
ILONA;225262;28576;;;N
IMRE;109765;17158;219;149;F
IRÉN;90907;9637;;;N
IRMA;17603;1993;;;N
ISTVÁN;338851;55192;732;588;F
IVÁN;4407;1260;;;F
IVETT;;;135;45;N
IZABELLA;;;130;39;N
JANKA;;;154;26;N
JÁNOS;272467;43773;548;429;F
JÁZMIN;;;536;122;N
JENÕ;21518;4263;;;F
JOLÁN;32696;3650;;;N
JÓZSEF;316996;52822;534;442;F
JUDIT;97545;14896;;;N
JÚLIA;11907;2996;195;62;N
JULIANNA;125598;13985;;;N
KÁLMÁN;21203;4114;;;F
KAMILLA;;;205;37;N
KÁROLY;74218;13647;137;108;F
KATA;;;339;116;N
KATALIN;213349;37277;213;182;N
KEVIN;2549;457;387;89;F
KINGA;13114;2362;293;81;N
KÍRA;;;225;70;N
KITTI;16235;2804;459;100;N
KLÁRA;46657;8282;;;N
KLAUDIA;14977;1924;241;60;N
KOPPÁNY;;;68;37;F
KORNÉL;6595;998;195;32;F
KRISTÓF;11852;1926;826;161;F
KRISZTIÁN;46335;6995;726;220;F
KRISZTINA;76609;8927;350;181;N
KRISZTOFER;;;238;55;F
LAJOS;106737;17352;159;113;F
LÁSZLÓ;345484;52762;926;578;F
LAURA;11320;2211;781;198;N
LEVENTE;15716;4149;1264;272;F
LILI;;;859;153;N
LILIÁNA;;;185;22;N
LILLA;12720;2506;470;109;N
LÍVIA;8971;964;;;N
LIZA;;;128;42;N
LÓRÁNT;2468;490;71;13;F
LUCA;;;542;126;N
MAGDOLNA;75457;25850;;;N
MARCELL;7650;1027;668;97;F
MARGIT;151346;17848;;;N
MÁRIA;434061;81567;178;338;N
MARIANN;11365;1365;;;N
MARIANNA;29362;2805;;;N
MÁRIÓ;2414;650;85;35;F
MÁRK;22264;7591;1040;466;F
MÁRKÓ;;;119;30;F
MÁRTA;52804;9102;;;N
MARTIN;11243;1360;784;126;F
MÁRTON;19560;3443;582;104;F
MÁTÉ;26951;4232;1571;332;F
MÁTYÁS;12946;3321;251;84;F
MELINDA;28888;3076;208;56;N
MERCÉDESZ;;;202;93;N
MIHÁLY;77931;14726;197;134;F
MIKLÓS;57782;11431;200;115;F
MILÁN;7800;1226;692;119;F
MÍRA;;;119;26;N
MÓNIKA;62302;6726;185;111;N
NÁNDOR;10576;1786;176;36;F
NATÁLIA;;;133;29;N
NIKOLETT;27958;2238;503;84;N
NIKOLETTA;17889;1415;196;36;N
NOEL;;;153;49;F
NOÉMI;16570;2759;633;120;N
NÓRA;21236;2527;607;93;N
NORBERT;44767;4566;497;130;F
OLGA;12208;1883;;;N
OLIVÉR;5936;1426;377;96;F
ORSOLYA;22107;2420;230;46;N
OTTÓ;9904;2215;;;F
PÁL;47010;14410;97;114;F
PANNA;;;310;86;N
PATRÍCIA;;;191;50;N
PATRIK;11611;1894;796;168;F
PÉTER;136938;20935;1168;391;F
PETRA;17234;2254;975;165;N
PIROSKA;54180;7553;;;N
RAMÓNA;;;259;74;N
REBEKA;;;445;125;N
REGINA;;;255;48;N
RÉKA;21258;3684;1031;198;N
RENÁTA;26373;2031;197;61;N
RENÁTÓ;;;96;44;F
REZSÕ;2671;645;;;F
RICHÁRD;26599;4722;575;138;F
RITA;25720;4780;;;N
RÓBERT;57272;7737;425;142;F
ROLAND;28520;3425;641;115;F
RÓZA;21592;2866;;;N
ROZÁLIA;62480;8477;;;N
RÓZSA;16475;2963;;;N
RUDOLF;6893;1580;;;F
SÁNDOR;204197;27623;458;285;F
SÁRA;10424;3253;383;195;N
SAROLTA;12188;2560;;;N
SIMON;;;66;20;F
SOMA;;;121;30;F
SZABINA;9897;931;134;37;N
SZABOLCS;28987;3326;635;93;F
SZEBASZTIÁN;;;99;33;F
SZILÁRD;9569;1552;145;35;F
SZILVESZTER;4439;1619;55;51;F
SZILVIA;55655;5188;143;82;N
SZONJA;;;227;60;N
TAMARA;;;230;52;N
TAMÁS;130544;19051;1193;330;F
TERÉZ;28326;3643;;;N
TERÉZIA;40823;10763;;;N
TIBOR;113827;17270;320;193;F
TÍMEA;44146;4212;256;109;N
TIVADAR;4173;929;;;F
TÜNDE;38111;6647;123;89;N
VALÉRIA;23567;4401;;;N
VANDA;;;235;47;N
VANESSZA;;;459;105;N
VERONIKA;37048;6746;316;95;N
VIKTOR;23705;3341;285;81;F
VIKTÓRIA;43198;5783;1059;257;N
VILMOS;10464;2167;78;35;F
VINCE;5157;1053;98;25;F
VIRÁG;;;552;219;N
VIVIEN;20863;3107;1007;196;N
ZALÁN;;;302;44;F
ZÉTÉNY;;;112;14;F
ZITA;13638;2429;;;N
ZOLTÁN;212574;33304;950;484;F
ZSANETT;13172;1493;233;52;N
ZSIGMOND;5636;1280;;;F
ZSÓFIA;31838;5907;978;205;N
ZSOLT;109902;20406;692;371;F
ZSOMBOR;4043;618;452;72;F
ZSUZSANNA;146160;23478;175;145;N
