faj	kormeret	telepules	megyeid	meres
közönséges bükk	435	Monostorapáti	18	2009
közönséges bükk	425	Magyarlukafa	2	2009
közönséges bükk	553	Lillafüred	4	2009
közönséges bükk	412	Monostorapáti	18	2008
közönséges bükk	403	Püspökszentlászló	2	2011
vénic szil	463	Nagykáta	13	2011
közönséges bükk	495	Bükkszentkereszt	4	2007
kislevelű hárs	475	Mezőcsokonya	14	2008
hárs	475	Kislőd	18	2008
lucfenyő	330	Sopron	7	2009
kocsányos tölgy	534	Fadd	16	2010
közönséges bükk	412	Szászvár	2	2011
fehér akác	435	Somogytarnóca	14	2011
magas kőris	579	Kéked	4	2010
közönséges bükk	502	Lad	14	2009
kocsányos tölgy	586	Sárvár	17	2003
kocsányos tölgy	510	Gemenc	16	2009
kocsányos tölgy	508	Bogyiszló	16	2007
közönséges bükk	442	Bükkszentkereszt	4	2007
fehér nyár	673	Belegrád	4	2007
fekete nyár	719	Hódmezővásárhely	5	2006
zöld juhar	415	Mezőhegyes	3	2010
fekete nyár	685	Gemenc	1	2011
fehér fűz	620	Gemenc	16	2011
fekete nyár	665	Rákóczifalva	10	2011
közönséges bükk	587	Gyenesdiás	19	2003
kocsányos tölgy	510	Lad	14	2009
kocsányos tölgy	504	Vinye	7	2010
kocsányos tölgy	600	Sárvár	17	2003
fehér nyár	665	Bagamér	8	2007
kocsányos tölgy	538	Túristvándi	15	2009
közönséges bükk	473	Bükkszentkereszt	4	2007
közönséges bükk	468	Hárskút	18	2008
óriás mamutfenyő	630	Kőszeg	17	2009
kocsányos tölgy	638	Gemenc	16	2003
kocsányos tölgy	684	Csákánydoroszló	17	2004
tiszafa	263	Gemenc	16	2011
juharlevelű platán	664	Eger	9	2004
duglászfenyő	341	Iharos	14	2007
kocsányos tölgy	665	Martonvásár	6	2003
kocsányos tölgy	540	Nyársapát	13	2004
fűz	602	Lovasberény	6	2010
fekete nyár	608	Rákóczifalva	10	2011
közönséges bükk	420	Pénzesgyőr	18	2006
hegyi juhar	455	Szentlélek	4	2009
közönséges bükk	437	Püspökszentlászló	2	2011
közönséges bükk	426	Telkibánya	4	2009
kocsányos tölgy	540	Gézaháza	18	2008
hárs	502	Kaposmérő	14	2006
kocsányos tölgy	527	Péterhida	14	2003
kocsányos tölgy	577	Péterhida	14	2003
kocsányos tölgy	511	Vizslás	12	2003
kocsányos tölgy	617	Buják	12	2005
közönséges bükk	435	Bükkszentkereszt	4	2007
kocsányos tölgy	582	Lentiszombathely	19	2003
kocsányos tölgy	500	Csorna	7	2009
közönséges bükk	410	Vásárosbéc	2	2009
kocsányos tölgy	509	Kajárpéc	7	2003
kocsányos tölgy	543	Komlósd	14	2011
fehér fűz	804	Kiskunfélegyháza	1	2006
kocsánytalan tölgy	534	Csurgónagymarton	14	2008
kocsányos tölgy	506	Ikervár	17	2008
kocsányos tölgy	576	Drávasztára	2	2002
csertölgy	548	Szőke	2	2003
közönséges bükk	505	Balatoncsicsó	18	2002
cseresznye	336	Vése	14	2010
kocsányos tölgy	634	Szarvas	3	2003
közönséges bükk	518	Monostorapáti	18	2008
közönséges bükk	449	Lad	14	2003
lucfenyő	340	Alcsútdoboz	6	2010
hárs	405	Kaposmérő	14	2006
közönséges bükk	512	Borsodnádasd	4	2010
közönséges bükk	420	Hárskút	18	2010
kocsányos tölgy	520	Szőcsénypuszta	14	2008
kocsányos tölgy	548	Zirc	18	2010
kocsányos tölgy	562	Gödöllő	13	2008
kocsányos tölgy	545	Bogyiszló	16	2007
fekete nyár	647	Köröstarcsa	3	2008
közönséges bükk	431	Monostorapáti	18	2008
gyertyán	306	Vöröstó	18	2009
juharlevelű platán	624	Alcsútdoboz	6	2008
vénic szil	405	Darány	14	2011
közönséges bükk	465	Herend	18	2008
szelídgesztenye	520	Iharosberény	14	2008
csertölgy	537	Nagyrécse	19	2009
szelídgesztenye	563	Zengővárkony	2	2004
kocsányos tölgy	511	Komjáti	4	2008
közönséges bükk	460	Bükkszentkereszt	4	2007
vénic szil	582	Tapsony	14	2010
törökmogyoró	374	Kajdacs	16	2009
vadkörte	304	Somogyviszló	2	2009
csertölgy	507	Eszteregnye	19	2010
kocsányos tölgy	548	Sárvár	17	2005
közönséges bükk	531	Ugod	18	2006
japánakác	485	Sárospatak	4	2004
fekete nyár	794	Ásványráró	7	2010
magyar kőris	562	Dénesfa	7	2003
fekete nyár	670	Barcs	14	2010
közönséges bükk	410	Sellye	2	2011
közönséges bükk	450	Borsodnádasd	4	2010
kocsányos tölgy	525	Tornyiszentmiklós	19	2003
kocsányos tölgy	540	Gemenc	16	2009
szelídgesztenye	733	Boncodfölde	19	2001
szürke nyár	756	Gibárt	4	2003
japánakác	474	Komárom	11	2007
nagylevelű hárs	622	Süttő	11	2003
tulipánfa	578	Ivánc	17	2007
magas kőris	550	Tornyiszentmiklós	19	2003
fekete nyár	681	Köröstarcsa	3	2008
kislevelű hárs	507	Nagyszakácsi	14	2010
hárs	458	Kenyeri	17	2005
fekete nyár	996	Nagyatád	14	2005
közönséges bükk	473	Pénzesgyőr	18	2009
fehér fűz	780	Halászi	7	2009
juharlevelű platán	705	Mihályi	7	2008
gyertyán	317	Bükkszentkereszt	4	2007
hárs	468	Kaposmérő	14	2006
kislevelű hárs	515	Olaszfalu	18	2010
kocsányos tölgy	550	Sárvár	17	2003
közönséges bükk	510	Bükkszentkereszt	4	2007
közönséges bükk	404	Kárász	2	2010
fehér fűz	605	Gemenc	16	2009
kocsányos tölgy	515	Gyulavári	3	2009
szelídgesztenye	554	Zengővárkony	2	2005
közönséges bükk	522	Pénzesgyőr	18	2009
hárs	452	Pogányvár	19	2003
kocsányos tölgy	590	Vátyonpuszta	3	2002
juharlevelű platán	732	Pölöske	19	2003
kocsányos tölgy	540	Kétújfalu	2	2002
kocsányos tölgy	510	Kéked	4	2010
szelídgesztenye	759	Zengővárkony	2	2003
kocsányos tölgy	502	Szabadkígyós	3	2010
közönséges bükk	411	Olaszfalu	18	2010
vénic szil	516	Barcs	14	2010
kocsányos tölgy	555	Uzsa	18	2003
óriás tuja	341	Alcsútdoboz	6	2010
kocsányos tölgy	523	Sárvár	17	2003
feketefenyő	312	Sopronhorpács	7	2009
közönséges bükk	444	Pénzesgyőr	18	2009
fekete nyár	652	Gemenc	1	2011
fekete nyár	631	Sárvár	17	2003
közönséges bükk	536	Tardos	11	2010
kocsányos tölgy	980	Zsennye	17	2004
fekete nyár	698	Pörböly	16	2003
mezei juhar	340	Bolhó	14	2007
kocsányos tölgy	678	Dömsöd	13	2003
kocsányos tölgy	604	Nyíradony	8	2003
kocsánytalan tölgy	707	Szentbalázs	14	2003
kocsányos tölgy	581	Dénesfa	7	2003
kocsányos tölgy	500	Kéked	4	2010
kocsányos tölgy	555	Rátót	17	2003
fekete nyár	751	Dunakiliti	7	2009
juharlevelű platán	861	Körmend	17	2002
szelídgesztenye	530	Szeleste	17	2003
közönséges bükk	444	Püspökszentlászló	2	2011
kocsányos tölgy	512	Lad	14	2009
közönséges bükk	407	Püspökszentlászló	2	2011
közönséges bükk	450	Sikonda	2	2008
fekete nyár	738	Gemenc	1	2011
juharlevelű platán	606	Tata	11	2004
enyves éger	458	Szombathely	17	2008
szelídgesztenye	640	Velem	17	2004
kocsányos tölgy	721	Orosipuszta	3	2004
mocsárciprus	366	Devecser	18	2010
közönséges bükk	462	Bükkszentkereszt	4	2007
nagylevelű hárs	514	Ganna	18	2004
fűz	823	Csokonyavisonta	14	2003
juharlevelű platán	631	Budapest	13	2003
kocsányos tölgy	533	Kákics	2	2003
gyertyán	327	Somogyviszló	2	2009
szelídgesztenye	736	Sé	17	2004
csertölgy	608	Szőke	2	2003
vadgesztenye	526	Budapest	13	2003
nagylevelű hárs	583	Márianosztra	13	2008
közönséges bükk	476	Monostorapáti	18	2008
közönséges bükk	435	Kőszeg	17	2004
közönséges bükk	462	Kab-hegy	18	2006
közönséges bükk	412	Csipkéskút	4	2009
közönséges bükk	401	Csipkéskút	4	2009
fűz	656	Gemenc	16	2010
szelídgesztenye	578	Zengővárkony	2	2005
szürke nyár	686	Szank	1	2011
juharlevelű platán	703	Füzérradvány	4	2004
hárs	509	Kaposmérő	14	2006
közönséges bükk	508	Bak	19	2004
kocsányos tölgy	555	Battonya	3	2003
közönséges bükk	460	Borsodnádasd	4	2010
kocsánytalan tölgy	552	Eszteregnye	19	2010
közönséges bükk	414	Ugod	18	2006
mocsárciprus	417	Devecser	18	2010
fekete nyár	822	Ásványráró	7	2010
gyertyán	372	Bak	19	2004
közönséges bükk	476	Szilvásvárad	9	2004
kocsányos tölgy	550	Hernádcéce	4	2010
kocsányos tölgy	535	Mezőberény	3	2002
fehér fűz	740	Adony	6	2009
kocsányos tölgy	625	Zsennye	17	2005
ostorfa	415	Dég	6	2009
óriás mamutfenyő	712	Iharosberény	14	2007
barkóca berkenye	325	Szentgál	18	2007
mocsárciprus	383	Szombathely	17	2008
vörösfenyő	336	Jávorkút	4	2009
fekete nyár	609	Gemenc	16	2009
közönséges bükk	410	Monostorapáti	18	2008
kocsányos tölgy	503	Füzérradvány	4	2004
közönséges bükk	414	Püspökszentlászló	2	2011
fekete nyár	697	Matty	2	2008
vénic szil	490	Vasszécseny	17	2006
közönséges bükk	415	Vásárosbéc	2	2009
kocsányos tölgy	510	Vereb	6	2010
nagylevelű hárs	543	Sárhatvan	6	2008
juharlevelű platán	612	Letenye	19	2004
fehér eper	441	Sárszentlőrinc	16	2009
szelídgesztenye	548	Zengővárkony	2	2005
kocsányos tölgy	549	Fenékpuszta	19	2009
kocsányos tölgy	613	Gemenc	1	2010
kocsányos tölgy	644	Ragály	4	2003
fekete nyár	731	Révfalu	2	2010
duglászfenyő	362	Mesztegnyő	14	2008
mezei juhar	370	Herend	18	2008
juharlevelű platán	909	Szabadbattyán	6	2004
közönséges bükk	465	Püspökszentlászló	2	2011
hárs	458	Somogyudvarhely	14	2002
fekete nyár	607	Révfalu	2	2010
kocsányos tölgy	558	Tamási	16	2011
közönséges bükk	562	Balatonhenye	18	2002
gyertyán	328	Vöröstó	18	2009
gyertyán	341	Vöröstó	18	2009
kocsányos tölgy	506	Téglás	8	2006
közönséges bükk	415	Herend	18	2008
kocsányos tölgy	607	Deszk	5	2002
kocsányos tölgy	516	Ács	11	2010
kislevelű hárs	409	Nagydobsza	2	2011
hárs	407	Lajosháza	14	2009
fehér fűz	645	Szekszárd	16	2009
szelídgesztenye	502	Antalszállás	2	2003
fekete nyár	658	Szegvár	5	2007
magas kőris	516	Fehérvárcsurgó	6	2007
közönséges bükk	414	Püspökszentlászló	2	2011
közönséges bükk	434	Püspökszentlászló	2	2011
közönséges bükk	421	Vasvár	17	2008
közönséges bükk	414	Bükkszentkereszt	4	2007
kocsányos tölgy	575	Tatabánya	11	2008
közönséges bükk	500	Pusztamarót	11	2008
fekete nyár	631	Székesheférvár	6	2008
vénic szil	457	Szarvas	3	2009
magas kőris	530	Ács	11	2010
szelídgesztenye	502	Kőszeg	17	2009
lucfenyő	375	Jávorkút	4	2009
közönséges bükk	459	Monostorapáti	18	2008
közönséges bükk	503	Zirc	18	2004
gyertyán	334	Vöröstó	18	2009
kocsányos tölgy	503	Somogytarnóca	14	2011
közönséges bükk	408	Bánkút	4	2009
közönséges bükk	438	Bükkszentkereszt	4	2007
közönséges bükk	475	Pénzesgyőr	18	2009
kocsányos tölgy	502	Orosipuszta	3	2004
kocsányos tölgy	570	Somogytarnóca	14	2002
gyertyán	346	Komlósd	14	2011
gyertyán	312	Vöröstó	18	2009
közönséges bükk	471	Herend	18	2008
fűz	698	Gemenc	16	2003
fekete nyár	930	Barcs	14	2010
gyertyán	345	Hárskút	18	2010
juharlevelű platán	696	Cégénydányád	15	2003
kocsányos tölgy	630	Szarvas	3	2003
fekete nyár	656	Barcs	14	2009
közönséges bükk	546	Monostorapáti	18	2008
kocsányos tölgy	697	Tótújfalu	14	2003
közönséges bükk	429	Dióspuszta	2	2009
közönséges bükk	440	Pénzesgyőr	18	2009
kocsányos tölgy	585	Barcs	14	2009
juharlevelű platán	846	Kőszeg	17	2002
közönséges bükk	428	Bak	19	2004
fehér akác	414	Somogytarnóca	14	2011
közönséges bükk	519	Gadány	14	2010
kocsányos tölgy	511	Zsennye	17	2005
közönséges bükk	450	Zirc	18	2004
kislevelű hárs	432	Somogytarnóca	14	2011
közönséges bükk	405	Püspökszentlászló	2	2011
fehér fűz	645	Mosonmagyaróvár	7	2009
kocsányos tölgy	601	Réde	11	2010
kocsányos tölgy	530	Nógrád	12	2003
fekete nyár	695	Ásványráró	7	2010
közönséges bükk	539	Kishuta	4	2006
fekete nyár	625	Hódmezővásárhely	5	2006
fekete nyár	815	Barcs	14	2010
fehér nyár	746	Alsóberecki	4	2007
szelídgesztenye	611	Nagytilaj	17	2007
fekete nyár	613	Gemenc	16	2011
közönséges bükk	402	Lad	14	2009
közönséges bükk	441	Hárskút	18	2010
fekete nyár	830	Gemenc	1	2010
nagylevelű hárs	552	Sajósenye	4	2003
fekete nyár	612	Gemenc	1	2010
kocsányos tölgy	505	Ercsi	6	2009
kocsányos tölgy	520	Kerkafalva	19	2004
kocsányos tölgy	546	Diósviszló	2	2010
közönséges bükk	400	Barátipuszta	19	2004
fehér nyár	603	Alsóberecki	4	2007
vénic szil	433	Gemenc	1	2011
mezei juhar	355	Sikonda	2	2008
közönséges bükk	405	Monostorapáti	18	2008
fehér nyár	664	Somogyvár	14	2007
közönséges bükk	488	Sikonda	2	2008
közönséges bükk	509	Monostorapáti	18	2008
közönséges bükk	478	Bükkszentkereszt	4	2007
kocsányos tölgy	633	Buják	12	2005
epernarancs	372	Sellye	2	2011
közönséges bükk	415	Bükkszentkereszt	4	2007
kocsányos tölgy	520	Debrecen	8	2004
közönséges bükk	402	Bükkszentkereszt	4	2007
japánakác	482	Alsóhídvégpuszta	16	2009
fűz	834	Mosonmagyaróvár	7	2003
kocsányos tölgy	509	Zsennye	17	2005
szelídgesztenye	814	Nagykutas	19	2002
közönséges bükk	415	Borsodnádasd	4	2010
fehér eper	482	Paks	16	2009
kocsányos tölgy	593	Kisköre	9	2003
ezüsthárs	602	Boldogkőváralja	4	2004
kocsányos tölgy	694	Bolhó	14	2003
kocsányos tölgy	547	Surd	19	2007
közönséges bükk	428	Herend	18	2008
közönséges bükk	495	Monostorapáti	18	2008
kocsányos tölgy	546	Károlyfalva	4	2004
kocsányos tölgy	555	Segesd	14	2006
fekete nyár	728	Szekszárd	16	2009
szürke nyár	734	Tahitótfalu	13	2011
fekete nyár	770	Tahitótfalu	13	2011
kocsányos tölgy	521	Tótszentgyörgy	2	2008
fűz	627	Gemenc	1	2010
korai juhar	468	Hencse	14	2006
fűz	621	Hajmáspuszta	18	2010
fekete nyár	685	Tiszacsege	8	2010
kocsányos tölgy	560	Sárvár	17	2003
vörösfenyő	337	Répáshuta	4	2009
közönséges bükk	431	Szuha	12	2003
kislevelű hárs	510	Vasszécseny	17	2006
hárs	450	Acsád	17	2006
fűz	832	Gemenc	16	2003
közönséges bükk	430	Bánkút	4	2009
közönséges bükk	403	Borsodnádasd	4	2010
kocsányos tölgy	530	Mikekarácsonyfa	19	2004
kocsányos tölgy	533	Szécsisziget	19	2003
vörösfenyő	333	Zirc	18	2010
kocsányos tölgy	537	Bácsborsód	1	2006
gyertyán	327	Bükkszentkereszt	4	2007
kocsányos tölgy	502	Kerkafalva	19	2004
fehér nyár	800	Révleányvár	4	2009
fekete nyár	762	Ásványráró	7	2010
közönséges bükk	408	Borsodnádasd	4	2010
fekete nyár	692	Szigetbecse	13	2004
kocsányos tölgy	750	Hédervár	7	2003
közönséges bükk	504	Lillafüred	4	2009
ezüsthárs	625	Börzsöny	13	2004
kocsányos tölgy	560	Gemenc	16	2003
magyar tölgy	531	Deszk	5	2011
szelídgesztenye	501	Iharosberény	14	2008
fehér nyár	900	Doba	18	2004
szelídgesztenye	521	Bazsi	18	2008
kocsányos tölgy	536	Hegyhátszentmárton	17	2008
kocsányos tölgy	542	Réde	11	2010
fekete nyár	651	Szekszárd	16	2009
fekete nyár	651	Révfalu	2	2010
kocsányos tölgy	500	Somogyfajsz	14	2010
kocsányos tölgy	580	Molvány	2	2011
fekete nyár	696	Hajmáspuszta	11	2010
kocsányos tölgy	507	Kerkafalva	19	2004
kocsányos tölgy	526	Nadap	6	2009
vénic szil	510	Kerkakutas	19	2004
császárfa	463	Seregélyes	6	2007
közönséges bükk	435	Monostorapáti	18	2008
fekete nyár	683	Rum	17	2006
japánakác	455	Alcsútdoboz	6	2010
fehér nyár	715	Barcs	14	2010
kocsányos tölgy	529	Gemenc	16	2010
hárs	420	Somogyhatvan	2	2002
fűz	600	Baja	1	2010
közönséges bükk	400	Borsodnádasd	4	2010
nagylevelű hárs	590	Bakóca	2	2004
vadgesztenye	447	Szőcsénypuszta	14	2008
kocsányos tölgy	518	Tiszaigar	10	2003
közönséges bükk	412	Bükkszentkereszt	4	2007
kocsányos tölgy	500	Füzérradvány	4	2009
juharlevelű platán	604	Alcsútdoboz	6	2004
fekete nyár	732	Előszállás	6	2008
kocsányos tölgy	514	Tuzsér	15	2003
közönséges bükk	400	Sikonda	2	2008
kocsányos tölgy	506	Balajt	4	2011
fehér akác	362	Somogytarnóca	14	2011
juharlevelű platán	637	Budapest	13	2010
kocsányos tölgy	599	Teklafalu	2	2005
juharlevelű platán	610	Budapest	13	2003
csertölgy	519	Nagyrécse	19	2009
kocsányos tölgy	511	Mezőcsokonya	14	2008
fekete nyár	655	Babócsa	14	2006
kocsányos tölgy	528	Szabadkígyós	3	2004
duglászfenyő	467	Rinyabesenyő	14	2007
kocsányos tölgy	602	Lad	14	2009
magas kőris	500	Lókút	18	2010
közönséges bükk	552	Monostorapáti	18	2008
fehér nyár	610	Barcs	14	2009
kocsányos tölgy	630	Letenye	19	2004
közönséges bükk	400	Hárskút	18	2004
hárs	432	Kislőd	18	2008
fehér nyár	605	Barcs	14	2009
közönséges bükk	415	Püspökszentlászló	2	2011
nagylevelű hárs	1038	Ötvöskónyi	14	2003
kocsányos tölgy	560	Somogytúr	14	2008
gyertyán	430	Herend	18	2008
közönséges bükk	410	Monostorapáti	18	2008
közönséges bükk	400	Püspökszentlászló	2	2011
közönséges bükk	441	Bükkszentkereszt	4	2007
japánakác	403	Egyházashetye	17	2011
kocsányos tölgy	507	Felsőszentmárton	2	2011
közönséges bükk	421	Monostorapáti	18	2008
kocsányos tölgy	540	Potony	14	2009
kislevelű hárs	420	Réde	18	2010
erdei fenyő	314	Somogyudvarhely	14	2008
közönséges bükk	402	Olaszfalu	18	2010
gyertyán	311	Vöröstó	18	2009
fekete nyár	852	Drávatamási	14	2009
fekete nyár	672	Szekszárd	16	2010
közönséges bükk	455	Monostorapáti	18	2009
szürke nyár	906	Mór	6	2008
közönséges bükk	418	Nagyrécse	19	2004
közönséges bükk	512	Répáshuta	4	2007
magas kőris	500	Zirc	18	2004
kocsányos tölgy	598	Keszthely	19	2004
kocsányos tölgy	534	Martonvásár	6	2003
kocsányos tölgy	592	Zsennye	17	2005
fekete nyár	615	Hódmezővásárhely	5	2006
enyves éger	384	Zirc	18	2010
fekete nyár	692	Gemenc	1	2010
közönséges bükk	430	Püspökszentlászló	2	2011
kocsányos tölgy	560	Kaposvár	14	2008
kocsányos tölgy	597	Mosonmagyaróvár	7	2003
kocsányos tölgy	580	Bokod	11	2005
kocsányos tölgy	575	Segesd	14	2006
közönséges bükk	596	Püspökszentlászló	2	2011
fűz	629	Lovasberény	6	2010
fekete nyár	638	Szekszárd	16	2009
kocsányos tölgy	693	Somogytarnóca	14	2003
kocsányos tölgy	556	Nagyrécse	19	2004
kocsányos tölgy	598	Somogytarnóca	14	2011
fehér nyár	630	Pácin	4	2009
lucfenyő	372	Jávorkút	4	2009
mezei juhar	361	Sikonda	2	2008
nagylevelű hárs	519	Putnok	4	2008
kocsányos tölgy	511	Túristvándi	15	2009
szelídgesztenye	628	Iharosberény	14	2004
fehér fűz	602	Szekszárd	16	2009
közönséges bükk	408	Olaszfalu	18	2010
közönséges bükk	468	Monostorapáti	18	2008
kocsányos tölgy	569	Bokod	11	2005
közönséges bükk	423	Tormafölde	19	2004
kocsányos tölgy	514	Gemenc	16	2010
kocsányos tölgy	529	Tuzsér	15	2003
szelídgesztenye	816	Szentgyörgyvár	19	2003
juharlevelű platán	728	Gyula	3	2004
kocsányos tölgy	537	Somogytarnóca	14	2010
kocsányos tölgy	525	Kaposvár	14	2008
japánakác	530	Egyed	7	2007
kocsányos tölgy	506	Diósviszló	2	2010
hárs	489	Zsira	17	2007
kocsányos tölgy	556	Kétújfalu	2	2002
kocsányos tölgy	606	Segesd	14	2005
ezüsthárs	564	Agárd	6	2007
mocsárciprus	358	Devecser	18	2010
kocsányos tölgy	500	Gerla	3	2004
kocsányos tölgy	580	Tiszadada	15	2005
ezüst juhar	351	Balatonfüred	18	2009
közönséges bükk	406	Püspökszentlászló	2	2011
kocsányos tölgy	640	Komlósd	14	2011
ezüsthárs	500	Sellye	2	2009
fekete nyár	924	Gyúró	6	2010
hárs	461	Pusztavám	6	2004
fűz	602	Gemenc	1	2010
kocsányos tölgy	555	Csákánydoroszló	17	2004
lucfenyő	415	Jávorkút	4	2009
kocsányos tölgy	531	Zádor	2	2005
kislevelű hárs	691	Monostorapáti	18	2008
közönséges bükk	439	Püspökszentlászló	2	2011
kocsányos tölgy	547	Máhomfa	19	2003
fekete nyár	847	Kisszentmárton	2	2005
közönséges bükk	487	Monostorapáti	18	2008
nagylevelű hárs	467	Börzsöny	12	2011
fehér nyár	722	Barcs	14	2009
fehér nyár	630	Bagamér	8	2007
közönséges bükk	414	Csipkéskút	4	2009
molyhos tölgy	632	Szebény	2	2002
