datum	regenyid	darab
2008.01.05	19	1
2008.01.05	26	1
2008.01.05	60	15
2008.01.05	45	1
2008.01.05	4	1
2008.01.05	55	1
2008.01.05	1	17
2008.01.06	8	1
2008.01.06	22	1
2008.01.06	67	9
2008.01.06	22	1
2008.01.06	44	1
2008.01.06	28	7
2008.01.06	68	1
2008.01.06	55	8
2008.01.06	21	1
2008.01.06	10	1
2008.01.06	66	1
2008.01.06	68	1
2008.01.06	64	2
2008.01.06	19	1
2008.01.06	16	1
2008.01.06	57	1
2008.01.06	25	1
2008.01.06	19	1
2008.01.06	30	1
2008.01.06	37	1
2008.01.06	45	11
2008.01.06	67	1
2008.01.06	10	1
2008.01.06	11	1
2008.01.06	34	19
2008.01.06	38	1
2008.01.06	19	1
2008.01.06	5	1
2008.01.06	67	1
2008.01.06	59	1
2008.01.06	21	1
2008.01.06	25	1
2008.01.06	8	3
2008.01.06	67	1
2008.01.06	70	1
2008.01.06	34	1
2008.01.06	53	1
2008.01.06	33	1
2008.01.06	4	5
2008.01.06	25	1
2008.01.06	71	1
2008.01.06	13	1
2008.01.06	24	1
2008.01.06	50	1
2008.01.06	68	1
2008.01.06	3	1
2008.01.06	66	1
2008.01.06	66	1
2008.01.06	62	1
2008.01.06	32	1
2008.01.06	28	1
2008.01.06	16	1
2008.01.06	9	1
2008.01.06	68	1
2008.01.06	10	15
2008.01.06	46	1
2008.01.06	23	19
2008.01.06	7	1
2008.01.06	42	1
2008.01.06	70	17
2008.01.06	49	1
2008.01.07	34	1
2008.01.07	57	1
2008.01.07	40	1
2008.01.07	12	1
2008.01.07	30	1
2008.01.07	21	1
2008.01.07	19	1
2008.01.07	11	1
2008.01.07	53	1
2008.01.07	18	1
2008.01.07	9	1
2008.01.07	26	15
2008.01.07	5	1
2008.01.07	63	1
2008.01.07	37	1
2008.01.07	23	1
2008.01.07	3	19
2008.01.07	50	1
2008.01.07	14	12
2008.01.07	40	1
2008.01.07	33	1
2008.01.07	54	1
2008.01.07	11	1
2008.01.07	45	1
2008.01.07	46	1
2008.01.07	53	1
2008.01.07	36	1
2008.01.07	7	1
2008.01.07	18	1
2008.01.07	30	1
2008.01.07	31	1
2008.01.07	1	2
2008.01.07	36	1
2008.01.07	28	1
2008.01.07	61	11
2008.01.07	5	1
2008.01.08	54	1
2008.01.09	6	1
2008.01.09	22	14
2008.01.09	18	1
2008.01.09	57	20
2008.01.09	36	3
2008.01.09	48	1
2008.01.09	43	3
2008.01.09	12	17
2008.01.09	19	1
2008.01.09	61	7
2008.01.09	19	1
2008.01.09	70	1
2008.01.09	35	1
2008.01.09	60	1
2008.01.09	39	1
2008.01.09	19	9
2008.01.09	35	10
2008.01.09	35	1
2008.01.09	36	1
2008.01.09	36	1
2008.01.09	45	16
2008.01.09	50	15
2008.01.09	72	1
2008.01.09	54	1
2008.01.09	7	1
2008.01.09	10	1
2008.01.09	46	1
2008.01.09	32	4
2008.01.09	4	1
2008.01.09	41	2
2008.01.09	12	1
2008.01.09	67	1
2008.01.09	49	1
2008.01.09	69	1
2008.01.09	48	13
2008.01.09	40	1
2008.01.09	55	1
2008.01.10	16	1
2008.01.10	26	1
2008.01.10	50	13
2008.01.10	28	1
2008.01.10	28	1
2008.01.10	8	1
2008.01.10	19	1
2008.01.10	15	1
2008.01.10	42	1
2008.01.10	57	1
2008.01.10	34	1
2008.01.10	69	1
2008.01.10	71	1
2008.01.10	57	1
2008.01.10	35	1
2008.01.10	16	1
2008.01.10	68	1
2008.01.10	35	1
2008.01.11	41	1
2008.01.11	52	1
2008.01.11	16	1
2008.01.11	40	3
2008.01.11	38	1
2008.01.11	11	1
2008.01.11	10	18
2008.01.11	50	1
2008.01.11	11	1
2008.01.11	61	1
2008.01.11	23	1
2008.01.11	54	15
2008.01.11	64	1
2008.01.11	42	1
2008.01.11	2	1
2008.01.12	17	1
2008.01.12	31	1
2008.01.12	45	1
2008.01.12	59	1
2008.01.12	32	1
2008.01.12	64	1
2008.01.12	31	1
2008.01.12	49	1
2008.01.12	9	1
2008.01.12	49	1
2008.01.12	12	9
2008.01.12	44	1
2008.01.12	32	1
2008.01.12	41	1
2008.01.12	22	1
2008.01.12	25	1
2008.01.12	28	1
2008.01.12	43	1
2008.01.12	21	1
2008.01.12	52	1
2008.01.12	68	2
2008.01.12	65	1
2008.01.12	31	1
2008.01.12	47	1
2008.01.12	8	1
2008.01.12	54	6
2008.01.12	52	1
2008.01.12	23	1
2008.01.12	68	1
2008.01.12	10	7
2008.01.12	46	1
2008.01.12	25	1
2008.01.12	19	13
2008.01.12	18	1
2008.01.12	12	1
2008.01.12	70	1
2008.01.12	59	1
2008.01.12	20	1
2008.01.12	63	7
2008.01.12	14	1
2008.01.12	4	4
2008.01.12	9	1
2008.01.12	66	1
2008.01.12	72	1
2008.01.12	49	15
2008.01.12	69	1
2008.01.12	56	1
2008.01.12	10	1
2008.01.12	15	9
2008.01.12	24	1
2008.01.12	20	1
2008.01.12	15	5
2008.01.12	34	1
2008.01.12	66	1
2008.01.12	22	9
2008.01.12	50	1
2008.01.12	11	16
2008.01.12	58	1
2008.01.12	22	1
2008.01.12	38	1
2008.01.13	25	1
2008.01.13	19	1
2008.01.13	31	1
2008.01.13	6	1
2008.01.13	57	16
2008.01.13	51	4
2008.01.13	18	8
2008.01.13	1	1
2008.01.13	12	1
2008.01.13	42	1
2008.01.13	28	1
2008.01.13	32	7
2008.01.13	32	11
2008.01.13	69	1
2008.01.13	44	1
2008.01.13	23	1
2008.01.13	1	8
2008.01.13	72	4
2008.01.13	26	1
2008.01.13	50	1
2008.01.13	7	14
2008.01.13	6	1
2008.01.14	60	1
2008.01.14	63	1
2008.01.14	21	1
2008.01.14	33	1
2008.01.15	32	1
2008.01.15	42	1
2008.01.15	35	1
2008.01.15	41	16
2008.01.16	45	10
2008.01.16	34	11
2008.01.16	5	1
2008.01.16	55	1
2008.01.16	30	18
2008.01.16	16	1
2008.01.17	17	1
2008.01.17	70	1
2008.01.17	67	1
2008.01.17	55	1
2008.01.17	55	15
2008.01.17	9	1
2008.01.17	50	1
2008.01.17	19	10
2008.01.17	65	1
2008.01.17	51	1
2008.01.17	67	1
2008.01.17	56	1
2008.01.17	25	1
2008.01.17	61	1
2008.01.17	2	1
2008.01.17	24	1
2008.01.17	72	1
2008.01.17	56	1
2008.01.17	13	1
2008.01.17	35	4
2008.01.17	11	1
2008.01.17	61	1
2008.01.17	46	1
2008.01.17	16	1
2008.01.17	24	17
2008.01.17	32	1
2008.01.17	8	1
2008.01.17	24	1
2008.01.17	43	1
2008.01.17	22	1
2008.01.17	33	1
2008.01.17	68	1
2008.01.17	1	1
2008.01.17	42	1
2008.01.17	46	1
2008.01.18	46	1
2008.01.18	36	1
2008.01.18	46	1
2008.01.18	48	1
2008.01.18	31	1
2008.01.18	55	1
2008.01.18	61	1
2008.01.18	10	15
2008.01.18	30	1
2008.01.18	18	12
2008.01.18	7	1
2008.01.18	57	12
2008.01.18	41	1
2008.01.18	56	1
2008.01.18	7	18
2008.01.18	71	1
2008.01.18	16	1
2008.01.18	18	1
2008.01.18	45	1
2008.01.18	31	1
2008.01.18	46	1
2008.01.18	40	6
2008.01.19	3	1
2008.01.19	3	17
2008.01.19	25	1
2008.01.19	71	1
2008.01.19	71	1
2008.01.19	35	1
2008.01.19	72	1
2008.01.20	69	10
2008.01.20	58	1
2008.01.20	66	1
2008.01.20	21	1
2008.01.20	70	1
2008.01.20	15	1
2008.01.20	16	1
2008.01.20	62	8
2008.01.20	57	9
2008.01.20	58	1
2008.01.20	12	1
2008.01.20	17	1
2008.01.20	36	1
2008.01.20	61	1
2008.01.20	37	1
2008.01.20	42	1
2008.01.20	36	1
2008.01.20	55	1
2008.01.20	62	1
2008.01.20	48	7
2008.01.20	28	1
2008.01.20	2	1
2008.01.20	60	15
2008.01.20	42	5
2008.01.20	71	1
2008.01.20	61	1
2008.01.20	1	7
2008.01.20	23	18
2008.01.21	2	1
2008.01.21	72	8
2008.01.21	35	1
2008.01.21	53	1
2008.01.21	63	1
2008.01.21	10	1
2008.01.21	8	1
2008.01.21	16	1
2008.01.21	70	1
2008.01.21	24	12
2008.01.22	18	1
2008.01.22	34	1
2008.01.22	70	1
2008.01.22	50	1
2008.01.22	61	1
2008.01.22	40	1
2008.01.23	30	20
2008.01.23	17	1
2008.01.23	6	1
2008.01.23	64	1
2008.01.23	39	1
2008.01.23	39	1
2008.01.23	25	3
2008.01.23	24	1
2008.01.23	63	1
2008.01.23	46	1
2008.01.23	1	1
2008.01.23	15	1
2008.01.23	63	1
2008.01.23	57	1
2008.01.23	50	1
2008.01.23	46	1
2008.01.23	5	1
2008.01.23	55	1
2008.01.23	45	1
2008.01.23	39	1
2008.01.23	54	1
2008.01.23	3	1
2008.01.23	40	1
2008.01.23	69	1
2008.01.23	64	1
2008.01.23	69	1
2008.01.23	61	1
2008.01.23	37	2
2008.01.23	61	5
2008.01.23	5	1
2008.01.23	64	1
2008.01.23	63	1
2008.01.23	45	7
2008.01.23	23	1
2008.01.23	9	10
2008.01.23	13	1
2008.01.23	35	1
2008.01.23	4	1
2008.01.23	62	1
2008.01.23	61	4
2008.01.23	39	1
2008.01.24	31	1
2008.01.24	63	1
2008.01.24	71	1
2008.01.24	27	1
2008.01.24	4	1
2008.01.24	72	1
2008.01.24	17	1
2008.01.24	47	1
2008.01.24	65	1
2008.01.24	64	1
2008.01.24	52	1
2008.01.24	69	1
2008.01.24	38	18
2008.01.24	49	1
2008.01.24	68	1
2008.01.24	32	1
2008.01.24	53	1
2008.01.24	50	1
2008.01.24	16	1
2008.01.25	6	1
2008.01.25	57	13
2008.01.25	62	1
2008.01.25	13	1
2008.01.25	62	1
2008.01.25	4	1
2008.01.25	7	16
2008.01.25	29	1
2008.01.25	34	12
2008.01.25	40	1
2008.01.25	59	11
2008.01.25	28	10
2008.01.25	55	1
2008.01.25	27	1
2008.01.25	59	1
2008.01.25	32	2
2008.01.25	31	1
2008.01.25	27	1
2008.01.26	33	1
2008.01.26	10	1
2008.01.26	44	1
2008.01.26	44	1
2008.01.26	12	1
2008.01.26	38	1
2008.01.26	8	12
2008.01.26	43	19
2008.01.26	16	1
2008.01.26	21	16
2008.01.26	9	1
2008.01.26	14	1
2008.01.26	59	1
2008.01.26	43	9
2008.01.26	14	1
2008.01.26	17	1
2008.01.26	70	1
2008.01.26	18	1
2008.01.26	12	1
2008.01.26	13	1
2008.01.26	6	1
2008.01.26	39	1
2008.01.26	7	1
2008.01.26	68	1
2008.01.26	64	1
2008.01.26	61	1
2008.01.26	43	1
2008.01.26	71	1
2008.01.26	5	1
2008.01.26	9	17
2008.01.26	67	1
2008.01.26	26	1
2008.01.26	68	1
2008.01.26	55	1
2008.01.27	65	1
2008.01.27	53	19
2008.01.27	66	1
2008.01.27	10	1
2008.01.27	49	1
2008.01.28	50	13
2008.01.28	2	1
2008.01.28	72	1
2008.01.28	46	1
2008.01.28	63	11
2008.01.28	30	1
2008.01.28	3	1
2008.01.28	52	1
2008.01.28	50	1
2008.01.28	14	2
2008.01.28	43	1
2008.01.28	32	15
2008.01.28	69	8
2008.01.28	11	1
2008.01.28	71	9
2008.01.28	29	1
2008.01.28	34	1
2008.01.28	27	1
2008.01.28	55	1
2008.01.28	67	1
2008.01.28	4	1
2008.01.28	9	1
2008.01.28	60	1
2008.01.28	19	1
2008.01.28	23	1
2008.01.29	11	1
2008.01.29	40	1
2008.01.29	69	1
2008.01.29	24	1
2008.01.29	69	4
2008.01.30	9	14
2008.01.30	63	13
2008.01.30	22	1
2008.01.30	29	1
2008.01.30	2	1
2008.01.30	10	1
2008.01.30	27	15
2008.01.30	40	1
2008.01.30	48	1
2008.01.30	45	1
2008.01.31	72	1
2008.01.31	39	1
2008.01.31	21	1
2008.01.31	68	1
2008.01.31	70	1
2008.01.31	9	1
2008.01.31	72	1
2008.01.31	44	1
2008.01.31	51	1
2008.01.31	56	1
2008.01.31	12	1
2008.01.31	55	1
2008.01.31	17	1
2008.01.31	5	1
2008.01.31	7	18
2008.01.31	46	1
2008.01.31	37	1
2008.01.31	6	6
2008.01.31	29	19
2008.01.31	15	1
2008.01.31	30	1
2008.01.31	8	15
2008.01.31	60	1
2008.01.31	6	7
2008.01.31	21	5
2008.02.01	10	1
2008.02.01	10	1
2008.02.01	39	14
2008.02.01	65	1
2008.02.01	18	1
2008.02.01	17	1
2008.02.01	61	1
2008.02.01	52	1
2008.02.01	15	1
2008.02.01	46	1
2008.02.01	70	2
2008.02.01	1	1
2008.02.01	24	1
2008.02.01	32	1
2008.02.01	53	1
2008.02.01	34	4
2008.02.01	43	1
2008.02.01	25	1
2008.02.01	49	14
2008.02.01	50	13
2008.02.01	40	1
2008.02.01	27	16
2008.02.01	6	1
2008.02.01	72	1
2008.02.01	25	1
2008.02.01	5	1
2008.02.01	15	1
2008.02.01	9	1
2008.02.02	3	1
2008.02.02	32	11
2008.02.02	42	1
2008.02.02	20	1
2008.02.02	33	1
2008.02.02	28	1
2008.02.02	16	1
2008.02.02	21	1
2008.02.02	32	1
2008.02.02	58	1
2008.02.02	19	1
2008.02.02	32	15
2008.02.02	34	1
2008.02.02	12	14
2008.02.02	22	1
2008.02.02	64	1
2008.02.02	7	11
2008.02.02	25	13
2008.02.02	18	1
2008.02.02	49	1
2008.02.02	13	1
2008.02.02	6	1
2008.02.02	30	1
2008.02.02	12	15
2008.02.02	4	1
2008.02.02	12	12
2008.02.02	20	17
2008.02.02	8	16
2008.02.02	67	1
2008.02.02	51	1
2008.02.02	54	1
2008.02.02	59	1
2008.02.02	16	1
2008.02.02	23	1
2008.02.02	1	1
2008.02.02	66	1
2008.02.02	50	1
2008.02.02	68	1
2008.02.02	22	1
2008.02.02	35	1
2008.02.02	71	1
2008.02.02	38	1
2008.02.02	16	7
2008.02.02	63	1
2008.02.02	28	1
2008.02.02	42	1
2008.02.02	18	11
2008.02.02	28	1
2008.02.02	12	10
2008.02.02	50	1
2008.02.02	33	1
2008.02.02	15	1
2008.02.02	32	1
2008.02.02	30	1
2008.02.03	45	3
2008.02.04	67	1
2008.02.04	68	1
2008.02.04	65	1
2008.02.04	45	11
2008.02.04	40	1
2008.02.04	55	1
2008.02.04	30	1
2008.02.04	59	7
2008.02.04	52	1
2008.02.04	42	1
2008.02.04	38	1
2008.02.04	46	1
2008.02.05	6	1
2008.02.05	40	3
2008.02.05	44	1
2008.02.05	37	1
2008.02.05	36	11
2008.02.05	50	20
2008.02.05	6	9
2008.02.05	8	11
2008.02.05	68	1
2008.02.05	52	20
2008.02.05	71	1
2008.02.05	71	1
2008.02.05	70	1
2008.02.05	57	1
2008.02.05	58	1
2008.02.05	62	1
2008.02.05	1	1
2008.02.05	13	14
2008.02.05	49	10
2008.02.05	57	1
2008.02.05	21	13
2008.02.05	25	4
2008.02.05	21	8
2008.02.05	35	1
2008.02.05	2	1
2008.02.05	51	1
2008.02.06	40	8
2008.02.06	51	1
2008.02.06	59	1
2008.02.06	40	16
2008.02.06	71	1
2008.02.06	19	1
2008.02.06	18	1
2008.02.06	18	1
2008.02.06	68	1
2008.02.07	25	1
2008.02.07	51	1
2008.02.08	49	1
2008.02.08	35	1
2008.02.08	56	1
2008.02.08	21	1
2008.02.08	41	1
2008.02.08	34	1
2008.02.08	14	1
2008.02.08	18	1
2008.02.08	34	1
2008.02.08	50	1
2008.02.08	2	18
2008.02.08	49	1
2008.02.08	20	19
2008.02.08	37	18
2008.02.08	53	1
2008.02.08	71	1
2008.02.08	22	1
2008.02.08	56	15
2008.02.08	47	1
2008.02.08	51	1
2008.02.08	24	1
2008.02.08	36	1
2008.02.08	24	1
2008.02.08	62	1
2008.02.08	27	17
2008.02.09	28	1
2008.02.09	72	1
2008.02.09	44	1
2008.02.09	62	18
2008.02.09	37	1
2008.02.09	22	1
2008.02.09	34	1
2008.02.09	41	18
2008.02.09	61	1
2008.02.09	29	1
2008.02.09	51	3
2008.02.09	21	17
2008.02.09	7	1
2008.02.09	45	1
2008.02.09	45	12
2008.02.09	39	1
2008.02.09	62	20
2008.02.09	4	1
2008.02.09	46	1
2008.02.09	26	1
2008.02.09	45	1
2008.02.09	28	1
2008.02.09	61	1
2008.02.09	21	1
2008.02.09	42	1
2008.02.09	18	1
2008.02.09	59	10
2008.02.09	1	1
2008.02.09	1	4
2008.02.09	69	8
2008.02.09	10	1
2008.02.09	16	1
2008.02.09	67	14
2008.02.09	21	1
2008.02.09	2	1
2008.02.09	40	1
2008.02.09	57	7
2008.02.09	68	1
2008.02.09	3	1
2008.02.09	53	1
2008.02.09	56	1
2008.02.09	5	1
2008.02.09	10	1
2008.02.10	70	1
2008.02.10	22	1
2008.02.10	53	1
2008.02.10	72	1
2008.02.10	58	1
2008.02.10	8	1
2008.02.10	61	17
2008.02.10	52	1
2008.02.10	4	14
2008.02.10	6	1
2008.02.10	7	1
2008.02.10	60	7
2008.02.10	17	11
2008.02.10	54	1
2008.02.10	27	1
2008.02.10	50	1
2008.02.10	23	6
2008.02.10	62	1
2008.02.11	54	4
2008.02.11	48	13
2008.02.11	37	1
2008.02.11	46	1
2008.02.11	67	1
2008.02.11	55	1
2008.02.11	29	1
2008.02.11	33	1
2008.02.11	72	1
2008.02.11	35	3
2008.02.11	43	11
2008.02.11	4	1
2008.02.11	28	1
2008.02.11	41	1
2008.02.11	35	1
2008.02.11	7	1
2008.02.11	47	1
2008.02.11	12	18
2008.02.11	19	1
2008.02.11	46	1
2008.02.11	54	1
2008.02.11	42	1
2008.02.11	2	1
2008.02.11	13	17
2008.02.11	1	14
2008.02.11	17	7
2008.02.11	59	16
2008.02.11	16	1
2008.02.11	7	1
2008.02.11	48	1
2008.02.11	17	1
2008.02.11	67	1
2008.02.11	36	1
2008.02.11	10	1
2008.02.11	68	1
2008.02.11	72	8
2008.02.11	14	1
2008.02.11	66	1
2008.02.11	18	1
2008.02.11	43	1
2008.02.11	3	1
2008.02.11	10	16
2008.02.11	61	1
2008.02.11	52	1
2008.02.11	6	7
2008.02.11	35	1
2008.02.11	66	1
2008.02.11	54	10
2008.02.11	72	1
2008.02.11	68	1
2008.02.11	38	1
2008.02.11	40	1
2008.02.11	61	1
2008.02.11	55	13
2008.02.11	56	1
2008.02.11	47	17
2008.02.11	39	1
2008.02.11	33	1
2008.02.11	6	2
2008.02.12	39	19
2008.02.12	49	1
2008.02.12	45	1
2008.02.12	33	1
2008.02.12	52	1
2008.02.12	32	1
2008.02.12	25	11
2008.02.12	50	1
2008.02.12	56	1
2008.02.12	72	10
2008.02.12	62	1
2008.02.12	20	1
2008.02.12	28	1
2008.02.12	62	1
2008.02.12	48	1
2008.02.12	55	1
2008.02.12	16	1
2008.02.12	14	12
2008.02.12	8	1
2008.02.12	2	1
2008.02.13	65	17
2008.02.13	40	1
2008.02.13	59	19
2008.02.13	27	1
2008.02.13	10	1
2008.02.13	36	1
2008.02.13	27	1
2008.02.13	44	1
2008.02.13	12	1
2008.02.13	10	1
2008.02.13	52	1
2008.02.13	61	10
2008.02.13	37	1
2008.02.13	41	2
2008.02.13	22	14
2008.02.13	35	1
2008.02.13	12	1
2008.02.13	9	1
2008.02.13	51	19
2008.02.13	68	14
2008.02.14	26	17
2008.02.14	63	1
2008.02.14	42	10
2008.02.15	64	1
2008.02.16	43	1
2008.02.16	34	1
2008.02.16	23	1
2008.02.16	53	1
2008.02.16	69	1
2008.02.16	27	1
2008.02.16	66	8
2008.02.16	56	1
2008.02.16	21	1
2008.02.16	13	1
2008.02.16	41	7
2008.02.16	35	13
2008.02.16	53	1
2008.02.16	41	1
2008.02.16	6	1
2008.02.16	14	1
2008.02.16	18	1
2008.02.16	44	1
2008.02.16	70	1
2008.02.16	19	13
2008.02.16	65	1
2008.02.16	18	1
2008.02.16	45	1
2008.02.16	3	8
2008.02.16	55	1
2008.02.16	44	1
2008.02.16	1	10
2008.02.16	13	1
2008.02.16	16	1
2008.02.16	47	9
2008.02.16	9	1
2008.02.16	6	9
2008.02.16	10	1
2008.02.16	33	5
2008.02.16	1	1
2008.02.16	65	1
2008.02.16	62	1
2008.02.16	3	3
2008.02.16	12	8
2008.02.16	63	1
2008.02.16	8	1
2008.02.16	62	12
2008.02.16	56	1
2008.02.16	68	1
2008.02.16	1	1
2008.02.16	19	1
2008.02.16	3	1
2008.02.16	8	2
2008.02.16	46	1
2008.02.16	33	1
2008.02.16	45	1
2008.02.16	22	1
2008.02.16	20	1
2008.02.16	9	1
2008.02.16	46	1
2008.02.16	42	1
2008.02.16	11	1
2008.02.17	62	1
2008.02.17	27	8
2008.02.17	64	1
2008.02.17	67	7
2008.02.17	68	1
2008.02.17	53	1
2008.02.17	20	1
2008.02.17	35	1
2008.02.17	14	1
2008.02.17	40	1
2008.02.17	6	1
2008.02.17	38	1
2008.02.17	14	1
2008.02.18	71	1
2008.02.18	13	1
2008.02.18	52	1
2008.02.18	20	1
2008.02.18	39	1
2008.02.18	14	1
2008.02.18	63	1
2008.02.18	65	1
2008.02.18	9	1
2008.02.18	19	1
2008.02.18	56	1
2008.02.18	68	1
2008.02.18	50	1
2008.02.18	47	1
2008.02.18	26	5
2008.02.18	38	14
2008.02.18	45	1
2008.02.18	9	19
2008.02.18	18	1
2008.02.18	24	1
2008.02.18	6	1
2008.02.18	8	1
2008.02.18	15	1
2008.02.19	25	1
2008.02.19	36	1
2008.02.19	8	1
2008.02.20	19	1
2008.02.20	68	1
2008.02.20	1	1
2008.02.20	46	1
2008.02.20	15	1
2008.02.20	38	1
2008.02.20	3	1
2008.02.20	50	1
2008.02.20	42	1
2008.02.20	71	1
2008.02.20	14	1
2008.02.20	31	1
2008.02.20	39	1
2008.02.20	5	1
2008.02.20	67	1
2008.02.20	45	1
2008.02.20	58	19
2008.02.20	10	1
2008.02.20	23	1
2008.02.20	28	1
2008.02.20	54	1
2008.02.20	60	1
2008.02.20	4	1
2008.02.20	38	1
2008.02.20	34	1
2008.02.20	13	1
2008.02.20	34	1
2008.02.20	11	1
2008.02.20	32	1
2008.02.20	71	1
2008.02.20	37	1
2008.02.20	33	1
2008.02.20	48	19
2008.02.20	27	1
2008.02.20	21	1
2008.02.20	11	1
2008.02.21	41	1
2008.02.21	67	1
2008.02.21	37	18
2008.02.21	29	1
2008.02.21	6	1
2008.02.21	10	1
2008.02.21	8	1
2008.02.21	13	1
2008.02.21	40	1
2008.02.21	47	1
2008.02.21	61	5
2008.02.21	72	1
2008.02.21	47	1
2008.02.21	52	1
2008.02.21	10	1
2008.02.21	69	7
2008.02.21	20	5
2008.02.21	63	1
2008.02.21	65	1
2008.02.21	71	1
2008.02.21	41	1
2008.02.22	2	1
2008.02.22	20	1
2008.02.22	31	1
2008.02.22	68	1
2008.02.22	15	6
2008.02.22	51	2
2008.02.22	10	1
2008.02.22	20	1
2008.02.22	59	20
2008.02.22	9	1
2008.02.22	30	1
2008.02.22	23	1
2008.02.22	20	1
2008.02.22	19	11
2008.02.22	48	1
2008.02.22	23	1
2008.02.22	50	1
2008.02.22	10	2
2008.02.22	13	1
2008.02.22	40	1
2008.02.22	68	1
2008.02.22	32	1
2008.02.22	35	14
2008.02.22	9	1
2008.02.22	16	1
2008.02.22	20	1
2008.02.22	56	10
2008.02.22	50	1
2008.02.23	56	1
2008.02.23	55	1
2008.02.23	61	1
2008.02.23	49	1
2008.02.23	49	1
2008.02.23	56	15
2008.02.23	27	1
2008.02.23	46	1
2008.02.23	63	1
2008.02.23	25	10
2008.02.23	40	1
2008.02.23	29	1
2008.02.23	68	17
2008.02.23	39	1
2008.02.23	62	1
2008.02.23	31	1
2008.02.23	35	1
2008.02.23	9	1
2008.02.23	46	1
2008.02.23	62	1
2008.02.23	67	1
2008.02.23	10	1
2008.02.23	29	1
2008.02.23	4	1
2008.02.23	3	1
2008.02.23	8	1
2008.02.23	28	1
2008.02.23	22	1
2008.02.23	20	1
2008.02.23	62	1
2008.02.23	61	1
2008.02.23	51	1
2008.02.23	15	1
2008.02.23	26	1
2008.02.23	68	16
2008.02.23	38	18
2008.02.23	37	2
2008.02.23	56	1
2008.02.23	12	12
2008.02.23	25	5
2008.02.23	23	1
2008.02.23	48	1
2008.02.23	51	1
2008.02.23	21	1
2008.02.23	6	1
2008.02.23	31	1
2008.02.23	49	11
2008.02.23	27	1
2008.02.23	41	1
2008.02.23	26	16
2008.02.23	10	1
2008.02.23	9	1
2008.02.23	17	1
2008.02.24	22	1
2008.02.24	21	1
2008.02.25	4	1
2008.02.25	56	1
2008.02.25	23	10
2008.02.25	25	1
2008.02.25	39	1
2008.02.25	7	9
2008.02.25	33	1
2008.02.25	41	1
2008.02.25	59	1
2008.02.25	25	1
2008.02.25	25	1
2008.02.25	3	1
2008.02.26	1	1
2008.02.26	37	1
2008.02.26	14	12
2008.02.26	27	1
2008.02.26	70	1
2008.02.26	42	1
2008.02.26	24	1
2008.02.27	52	1
2008.02.27	32	17
2008.02.27	51	3
2008.02.27	24	1
2008.02.27	5	18
2008.02.27	50	1
2008.02.27	16	1
2008.02.27	9	1
2008.02.27	57	1
2008.02.27	19	12
2008.02.27	44	1
2008.02.27	46	1
2008.02.27	5	12
2008.02.27	52	1
2008.02.27	12	6
2008.02.27	7	1
2008.02.27	13	1
2008.02.27	72	1
