bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
2001.11.07	2001.11.10	44	1	1	3346
2001.04.02	2001.04.06	364	2	1	2103
2001.01.13	2001.01.15	182	2	1	1785
2001.04.05	2001.04.09	322	3	2	1791
2001.05.19	2001.05.21	485	6	1	1344
2001.01.21	2001.01.24	192	4	3	3131
2001.07.14	2001.07.14	402	6	3	5246
2001.06.27	2001.06.28	302	1	1	2217
2001.02.18	2001.02.18	198	2	3	2632
2001.01.04	2001.01.06	175	3	2	3051
2001.04.20	2001.04.20	58	1	1	651
2001.01.24	2001.01.28	180	1	2	1780
2001.12.25	2001.12.27	87	1	2	1385
2001.02.04	2001.02.08	12	6	1	4365
2001.12.15	2001.12.19	88	5	3	2730
2001.10.13	2001.10.17	45	3	2	2460
2001.04.06	2001.04.07	396	4	1	520
2001.01.16	2001.01.20	397	4	1	5486
2001.04.12	2001.04.12	379	3	1	3787
2001.02.20	2001.02.21	298	4	2	719
2001.09.24	2001.09.25	406	6	3	513
2001.03.13	2001.03.14	241	3	2	2155
2001.05.06	2001.05.08	429	4	1	4810
2001.03.14	2001.03.18	350	2	3	5128
2001.10.10	2001.10.12	274	6	3	5456
2001.12.18	2001.12.22	83	3	2	4228
2001.04.09	2001.04.10	192	5	3	677
2001.09.13	2001.09.13	192	2	2	3793
2001.05.31	2001.06.01	48	5	1	3231
2001.09.18	2001.09.19	320	1	1	2666
2001.07.03	2001.07.04	461	3	3	4411
2001.07.04	2001.07.07	376	2	3	3992
2001.05.25	2001.05.29	239	6	1	613
2001.03.07	2001.03.09	8	4	2	4655
2001.07.02	2001.07.04	204	6	1	1427
2001.09.26	2001.09.30	19	2	2	4041
2001.03.24	2001.03.25	403	1	1	5383
2001.01.10	2001.01.14	87	6	2	2525
2001.08.30	2001.08.30	2	1	1	4777
2001.08.16	2001.08.16	162	5	1	1375
2001.01.21	2001.01.25	467	4	1	2116
2001.01.22	2001.01.23	146	1	3	5179
2001.11.25	2001.11.27	238	4	3	4606
2001.08.16	2001.08.19	412	2	2	1930
2001.10.04	2001.10.06	311	3	3	4294
2001.12.22	2001.12.23	142	6	1	4355
2001.11.12	2001.11.14	473	3	2	3092
2001.07.24	2001.07.24	252	5	3	4050
2001.08.26	2001.08.27	487	2	3	1797
2001.12.04	2001.12.06	185	1	3	823
2001.10.29	2001.11.01	171	1	3	1506
2001.02.15	2001.02.15	249	2	2	2551
2001.01.13	2001.01.13	354	3	3	2685
2001.09.03	2001.09.05	45	2	3	3261
2001.07.25	2001.07.26	373	3	3	2233
2001.07.22	2001.07.25	312	6	3	5468
2001.05.26	2001.05.26	192	5	1	2143
2001.11.04	2001.11.06	41	5	2	1008
2001.04.20	2001.04.21	317	6	1	3761
2001.11.20	2001.11.24	273	6	2	3467
2001.06.23	2001.06.23	70	2	2	2424
2001.12.04	2001.12.08	316	2	2	2849
2001.07.06	2001.07.08	115	3	2	4979
2001.06.09	2001.06.09	444	4	1	4764
2001.10.20	2001.10.23	110	6	3	2145
2001.05.11	2001.05.14	303	6	2	4203
2001.01.28	2001.01.28	200	3	3	1338
2001.08.22	2001.08.25	321	2	3	4845
2001.12.10	2001.12.14	77	3	2	1572
2001.04.23	2001.04.26	128	5	2	1456
2001.06.18	2001.06.18	114	6	3	3321
2001.04.25	2001.04.29	276	2	2	1625
2001.09.07	2001.09.08	33	6	1	3252
2001.01.09	2001.01.10	199	6	1	3316
2001.07.30	2001.07.30	224	5	2	5268
2001.01.04	2001.01.05	358	4	1	1184
2001.06.26	2001.06.29	111	5	1	3910
2001.08.05	2001.08.08	414	4	1	3027
2001.08.25	2001.08.26	340	5	3	914
2001.12.25	2001.12.29	207	1	1	2316
2001.09.07	2001.09.07	466	6	1	2611
2001.06.17	2001.06.18	459	1	2	868
2001.01.09	2001.01.13	371	3	1	2283
2001.03.19	2001.03.23	441	3	1	3495
2001.09.17	2001.09.19	178	1	2	3295
2001.04.25	2001.04.26	19	4	2	5402
2001.07.19	2001.07.19	421	5	2	3793
2001.05.23	2001.05.25	489	3	3	2948
2001.12.28	2001.12.28	215	2	1	1218
2001.08.09	2001.08.12	328	3	3	1758
2001.01.13	2001.01.16	53	2	1	679
2001.04.10	2001.04.10	264	6	3	4300
2002.01.19	2002.01.22	192	1	1	1925
2001.06.10	2001.06.12	135	4	3	777
2001.01.09	2001.01.09	26	3	2	905
2001.02.11	2001.02.14	286	4	3	4385
2001.08.30	2001.08.31	11	6	3	880
2001.03.16	2001.03.17	78	2	1	711
2001.08.21	2001.08.23	102	5	3	4462
2001.01.03	2001.01.03	93	4	2	2398
2001.02.13	2001.02.14	213	6	2	2933
2001.12.18	2001.12.19	195	5	2	5200
2001.11.02	2001.11.02	39	6	1	3988
2001.06.21	2001.06.22	277	1	3	3451
2001.11.07	2001.11.07	96	2	2	914
2001.04.27	2001.04.30	100	3	1	901
2001.02.01	2001.02.03	33	4	3	2320
2001.06.13	2001.06.15	149	2	2	2702
2001.11.11	2001.11.14	314	2	2	4451
2001.07.16	2001.07.20	287	2	1	1992
2001.08.05	2001.08.09	375	6	2	2085
2001.09.28	2001.09.28	390	1	1	4923
2001.10.20	2001.10.24	452	2	1	1121
2001.03.20	2001.03.23	152	4	2	1788
2001.01.06	2001.01.10	365	1	2	1198
2001.04.15	2001.04.16	199	2	1	1256
2001.07.20	2001.07.24	228	5	3	533
2001.06.28	2001.07.02	68	1	2	2083
2001.10.31	2001.11.04	104	1	3	2348
2001.02.17	2001.02.20	251	1	2	811
2001.06.08	2001.06.12	236	3	2	1760
2001.05.23	2001.05.25	202	3	2	3989
2002.01.07	2002.01.10	131	2	1	1576
2002.01.31	2002.02.02	259	2	3	2188
2001.03.31	2001.04.04	264	1	3	2005
2001.02.17	2001.02.17	265	2	2	2006
2001.12.18	2001.12.20	290	6	2	4905
2001.08.04	2001.08.05	189	4	1	5413
2001.01.23	2001.01.23	176	1	1	4501
2001.05.17	2001.05.17	127	2	1	3906
2001.05.16	2001.05.20	24	6	2	3050
2001.12.27	2001.12.29	140	6	3	1343
2002.01.20	2002.01.21	264	1	2	3461
2001.03.20	2001.03.20	439	6	2	956
2001.05.16	2001.05.18	304	5	2	4969
2001.02.11	2001.02.13	483	5	3	4626
2001.05.26	2001.05.29	178	4	2	2939
2001.09.29	2001.10.02	136	1	1	2606
2001.12.04	2001.12.05	286	1	1	2789
2001.09.08	2001.09.10	493	1	1	3973
2001.05.02	2001.05.05	194	6	2	1012
2001.12.19	2001.12.23	181	5	1	529
2001.06.16	2001.06.17	100	6	2	4048
2001.08.23	2001.08.24	420	4	2	3516
2001.10.24	2001.10.25	110	2	1	2476
2001.08.02	2001.08.06	273	6	3	5077
2002.01.22	2002.01.25	484	4	2	3889
2002.01.12	2002.01.13	399	1	2	3542
2001.02.28	2001.03.04	479	3	3	2014
2001.10.07	2001.10.11	195	3	3	3057
2001.03.09	2001.03.13	245	6	1	5431
2001.01.20	2001.01.22	30	3	2	726
2001.12.12	2001.12.16	110	5	1	4446
2001.08.13	2001.08.16	443	6	3	1468
2001.08.18	2001.08.21	77	6	3	4825
2001.08.10	2001.08.11	327	3	3	2240
2001.05.31	2001.06.04	110	4	1	1060
2001.02.12	2001.02.12	366	6	3	770
2001.03.18	2001.03.18	9	6	1	2634
2001.02.27	2001.03.02	24	6	1	3786
2002.02.03	2002.02.05	240	3	1	3628
2001.12.06	2001.12.07	281	6	3	858
2002.02.06	2002.02.06	103	2	3	2930
2001.05.03	2001.05.06	288	5	2	547
2001.02.13	2001.02.13	82	2	2	4060
2001.02.10	2001.02.11	91	3	1	4562
2001.02.28	2001.03.03	489	5	3	682
2001.01.08	2001.01.09	365	4	3	1408
2001.08.26	2001.08.28	191	4	1	3028
2001.12.20	2001.12.24	143	6	1	3247
2001.09.25	2001.09.25	461	5	3	2491
2001.05.17	2001.05.19	402	4	3	2582
2002.01.11	2002.01.15	289	2	3	4313
2001.04.23	2001.04.25	410	1	2	1996
2001.01.13	2001.01.17	4	6	1	5086
2001.04.09	2001.04.11	304	1	1	1361
2001.05.03	2001.05.05	233	2	1	2169
2001.03.09	2001.03.10	318	6	2	4092
2001.04.22	2001.04.23	402	3	3	2577
2001.10.17	2001.10.18	129	2	2	4858
2001.01.08	2001.01.10	67	6	2	4991
2001.11.20	2001.11.21	138	5	3	5288
2002.01.05	2002.01.09	201	6	1	1517
2002.01.28	2002.02.01	344	2	3	2110
2001.08.16	2001.08.17	316	6	3	1981
2001.08.18	2001.08.18	420	3	2	4236
2001.09.24	2001.09.27	219	2	1	1376
2002.01.12	2002.01.14	67	6	1	2314
2001.08.25	2001.08.25	82	2	2	2124
2002.01.27	2002.01.31	398	3	3	3122
2001.04.08	2001.04.12	29	5	2	2759
2001.12.30	2001.12.31	203	5	1	2680
2001.08.14	2001.08.18	84	1	3	1388
2001.06.24	2001.06.24	127	3	3	3946
2001.06.24	2001.06.28	212	6	1	5091
2001.12.06	2001.12.10	306	5	3	2203
2001.01.22	2001.01.26	177	1	3	4625
2001.08.23	2001.08.26	282	5	3	1735
2001.11.10	2001.11.10	416	6	2	5409
2001.05.01	2001.05.02	487	3	1	4450
2001.03.26	2001.03.28	216	2	1	1823
2002.02.06	2002.02.07	200	3	3	4454
2001.07.19	2001.07.21	196	5	1	3274
2001.10.30	2001.11.03	152	1	3	2643
2001.02.26	2001.02.26	402	1	3	4152
2001.02.06	2001.02.08	430	2	3	3584
2001.06.23	2001.06.25	3	5	2	3251
2001.10.11	2001.10.11	387	4	1	1486
2002.01.13	2002.01.14	281	1	1	914
2001.04.24	2001.04.25	208	5	3	4716
2002.01.23	2002.01.23	194	6	2	2990
2001.02.20	2001.02.21	470	1	3	1118
2001.10.04	2001.10.06	205	4	1	1092
2001.07.22	2001.07.23	123	4	2	1574
2001.05.19	2001.05.20	317	4	2	2316
2002.01.25	2002.01.29	65	3	1	1760
2002.01.26	2002.01.30	45	4	2	1370
2002.02.01	2002.02.04	68	1	3	2015
2001.09.23	2001.09.24	469	3	3	3148
2002.01.10	2002.01.11	2	3	3	1259
2001.11.12	2001.11.14	325	4	2	4568
2001.04.18	2001.04.21	416	5	3	1594
2001.02.23	2001.02.26	66	1	2	4292
2001.09.25	2001.09.25	271	5	1	3743
2001.06.07	2001.06.10	361	5	1	2858
2001.03.10	2001.03.11	458	6	2	622
2001.06.07	2001.06.09	134	4	1	2617
2001.12.21	2001.12.24	283	4	1	1267
2001.02.27	2001.03.01	104	1	2	655
2001.02.18	2001.02.20	82	3	1	4966
2001.05.03	2001.05.03	366	1	2	4868
2001.10.03	2001.10.04	122	2	2	5426
2001.03.25	2001.03.29	270	3	3	2818
2001.08.26	2001.08.26	409	5	3	1844
2001.05.30	2001.06.02	224	1	1	2328
2001.07.10	2001.07.11	316	6	3	3880
2001.10.18	2001.10.20	36	6	3	4936
2001.07.17	2001.07.17	82	6	2	988
2001.05.23	2001.05.27	332	5	1	2782
2001.03.28	2001.03.31	159	5	1	3229
2001.01.29	2001.01.30	42	2	3	3125
2001.07.30	2001.07.30	429	3	2	1032
2001.11.10	2001.11.10	67	5	1	5213
2001.09.05	2001.09.07	436	5	3	1535
2001.01.30	2001.02.02	215	1	3	1925
2001.12.30	2002.01.01	66	3	3	4253
2001.03.26	2001.03.26	192	3	1	2175
2001.03.16	2001.03.16	388	6	1	2069
2001.04.15	2001.04.16	345	4	1	3344
2001.07.08	2001.07.11	174	1	1	5012
2001.09.12	2001.09.12	486	3	3	4687
2001.05.31	2001.06.02	486	3	3	541
2001.08.14	2001.08.18	258	4	3	1322
2001.08.22	2001.08.25	269	1	3	4603
2001.03.26	2001.03.30	369	6	2	3961
2001.07.03	2001.07.05	489	5	1	4360
2001.05.04	2001.05.04	145	4	3	5379
2001.09.03	2001.09.05	63	1	3	2370
2001.08.17	2001.08.17	398	1	2	4811
2001.05.28	2001.05.29	360	2	3	2023
2001.02.15	2001.02.17	195	3	1	3279
2002.01.09	2002.01.09	317	2	1	4381
2001.10.12	2001.10.16	192	3	3	3691
2001.10.24	2001.10.26	290	1	1	4149
2001.07.09	2001.07.10	163	2	2	4710
2002.01.18	2002.01.19	154	4	3	2686
2002.01.17	2002.01.17	355	6	2	2494
2001.07.17	2001.07.19	244	6	1	4557
2001.11.06	2001.11.08	389	1	1	861
2001.10.01	2001.10.04	324	3	3	1423
2001.06.16	2001.06.16	200	2	3	3532
2002.01.18	2002.01.18	401	2	3	4900
2002.01.07	2002.01.09	182	4	2	3359
2002.01.29	2002.01.29	182	4	3	2246
2001.01.07	2001.01.07	57	2	2	2612
2001.05.25	2001.05.27	176	6	3	2506
2001.05.10	2001.05.14	320	5	3	1903
2001.08.29	2001.08.30	226	3	1	1749
2002.01.06	2002.01.07	236	4	2	3312
2001.04.05	2001.04.07	487	3	1	1005
2001.10.15	2001.10.17	209	3	1	3345
2001.01.27	2001.01.30	194	2	2	5203
2002.01.17	2002.01.17	294	6	3	5259
2001.03.12	2001.03.13	447	2	1	3035
2002.01.17	2002.01.17	320	6	2	4351
2001.02.18	2001.02.18	42	1	1	3695
2001.08.04	2001.08.04	468	4	2	2766
2001.05.06	2001.05.08	118	1	2	5491
2001.11.20	2001.11.23	399	3	1	992
2002.01.08	2002.01.09	94	2	3	5179
2001.09.04	2001.09.06	318	6	2	5121
2001.11.17	2001.11.18	151	5	3	5228
2001.12.26	2001.12.29	458	1	2	764
2001.10.03	2001.10.04	197	4	1	3662
2002.02.04	2002.02.07	61	1	2	4541
2001.01.16	2001.01.19	298	6	1	955
2002.01.24	2002.01.26	301	5	3	3360
2001.06.23	2001.06.23	307	2	1	509
2001.12.07	2001.12.07	315	2	2	2619
2001.10.03	2001.10.04	273	5	1	4298
2001.05.08	2001.05.12	427	3	3	1080
2001.09.12	2001.09.14	3	1	3	1083
2001.02.13	2001.02.16	109	2	1	2766
2001.06.16	2001.06.16	188	4	2	2424
2001.04.20	2001.04.20	377	2	1	2714
2001.12.17	2001.12.20	396	3	1	4043
2001.06.20	2001.06.23	19	1	2	3925
2001.07.24	2001.07.24	425	4	1	2238
2001.05.02	2001.05.04	378	4	2	2073
2001.05.06	2001.05.08	357	6	1	2217
2001.02.15	2001.02.16	443	3	1	660
2001.10.25	2001.10.26	287	2	2	4051
2001.11.28	2001.12.02	428	3	3	1243
2001.10.05	2001.10.05	439	1	3	3557
2002.01.14	2002.01.14	344	1	1	2050
2001.01.17	2001.01.17	108	4	3	2252
2002.01.05	2002.01.06	202	2	2	3514
2001.07.15	2001.07.19	396	3	2	4670
2001.10.23	2001.10.27	145	2	2	3970
2001.11.29	2001.12.03	405	2	3	1338
2001.11.23	2001.11.25	330	3	3	891
2001.05.16	2001.05.17	29	4	1	1808
2001.03.02	2001.03.06	13	6	1	1346
2001.07.05	2001.07.06	451	4	2	4484
2001.05.22	2001.05.24	281	2	3	2635
2001.11.24	2001.11.27	38	2	3	4076
2001.01.20	2001.01.21	52	3	2	4662
2001.10.24	2001.10.28	227	6	1	4966
2001.12.06	2001.12.10	101	4	2	2537
2001.05.13	2001.05.13	34	2	3	4074
2002.01.15	2002.01.17	300	3	2	540
2002.01.28	2002.01.28	341	2	3	2576
2001.12.13	2001.12.16	107	4	3	2055
2001.10.04	2001.10.07	21	2	2	3172
2001.07.01	2001.07.03	319	4	2	1043
2001.11.16	2001.11.16	427	4	2	4760
2001.07.02	2001.07.03	235	6	3	5404
2001.07.27	2001.07.29	9	2	3	638
2001.12.23	2001.12.24	404	6	3	5353
2001.08.22	2001.08.25	204	3	2	784
2001.01.21	2001.01.22	315	5	2	4852
2001.02.15	2001.02.17	441	3	2	5250
2001.03.01	2001.03.05	232	3	3	3745
2001.02.01	2001.02.02	416	5	1	3656
2001.07.02	2001.07.05	1	3	3	2650
2002.02.06	2002.02.10	240	6	2	4377
2001.10.27	2001.10.30	272	4	1	4681
2001.09.03	2001.09.04	116	2	1	1751
2002.01.10	2002.01.10	362	3	1	2913
2001.05.07	2001.05.09	3	5	1	2351
2001.08.05	2001.08.09	163	2	2	706
2002.01.24	2002.01.25	272	5	1	1330
2002.01.18	2002.01.20	164	5	1	4946
2001.12.27	2001.12.29	328	5	1	3063
2001.12.02	2001.12.05	226	6	3	798
2001.12.06	2001.12.10	146	5	2	3518
2001.06.20	2001.06.24	245	3	3	3184
2001.05.23	2001.05.23	320	5	2	2411
2001.03.02	2001.03.04	356	6	3	2910
2001.05.01	2001.05.01	194	3	1	4005
2002.01.17	2002.01.21	195	4	3	4517
2001.06.19	2001.06.19	484	5	3	3431
2001.02.11	2001.02.11	437	6	3	3073
2001.07.14	2001.07.18	341	4	2	2381
2001.08.04	2001.08.07	403	5	2	4125
2001.10.11	2001.10.13	463	6	2	2693
2001.12.25	2001.12.27	10	3	3	2789
2001.09.10	2001.09.12	492	4	3	4604
2001.11.19	2001.11.23	478	6	3	2388
2001.03.26	2001.03.26	296	6	1	5152
2001.05.21	2001.05.23	168	6	2	3409
2001.03.15	2001.03.19	147	6	3	5026
2001.09.20	2001.09.21	316	5	1	1730
2001.09.27	2001.09.30	65	4	1	4153
2001.04.03	2001.04.03	213	4	2	5059
2001.09.20	2001.09.20	468	5	1	1080
2001.02.14	2001.02.16	26	4	3	5335
2001.12.11	2001.12.12	86	4	3	1609
2001.07.13	2001.07.16	34	6	2	4581
2001.03.31	2001.03.31	113	2	3	4403
2001.01.24	2001.01.28	59	5	1	5016
2001.01.05	2001.01.08	179	5	1	2898
2001.09.25	2001.09.29	119	1	2	1427
2001.06.25	2001.06.27	18	5	3	1734
2001.04.02	2001.04.02	358	3	3	930
2001.11.29	2001.12.03	21	5	3	4418
2001.07.16	2001.07.18	38	2	2	4118
2001.06.15	2001.06.18	198	4	3	4665
2001.03.21	2001.03.21	446	5	1	3451
2001.12.10	2001.12.14	331	2	1	5199
2001.10.29	2001.10.30	313	5	2	3449
2001.05.02	2001.05.02	434	2	1	927
2001.02.17	2001.02.17	111	6	2	2491
2001.07.08	2001.07.10	109	3	3	679
2002.01.10	2002.01.10	125	6	3	1002
2001.04.27	2001.04.27	115	1	3	5467
2001.03.02	2001.03.03	144	2	1	1963
2002.01.09	2002.01.13	382	2	3	4370
2001.12.03	2001.12.05	400	4	1	4179
2001.11.08	2001.11.12	117	5	3	605
2002.01.21	2002.01.25	226	4	1	3075
2001.05.08	2001.05.11	3	6	2	4303
2001.12.10	2001.12.10	176	6	1	2187
2001.10.09	2001.10.11	426	1	3	953
2001.06.16	2001.06.17	284	6	3	5186
2001.06.08	2001.06.09	483	6	1	3143
2001.06.22	2001.06.25	90	5	2	5484
2001.12.25	2001.12.27	254	4	2	3787
2001.01.19	2001.01.22	47	5	3	1178
2002.01.05	2002.01.06	413	4	2	2086
2001.07.27	2001.07.30	134	6	3	4744
2001.11.19	2001.11.22	254	4	1	3185
2001.07.25	2001.07.29	464	2	3	1357
2001.01.09	2001.01.12	276	4	1	4594
2001.05.25	2001.05.27	11	3	1	768
2001.11.16	2001.11.18	150	4	3	2856
2001.10.08	2001.10.12	137	5	2	3580
2001.01.07	2001.01.09	225	2	2	1306
2001.01.11	2001.01.15	236	3	1	4888
2001.01.18	2001.01.19	305	1	1	1484
2002.01.21	2002.01.21	114	3	1	1505
2001.04.16	2001.04.18	377	3	1	3303
2001.06.08	2001.06.10	186	1	2	3267
2001.04.10	2001.04.12	461	5	1	2070
2001.12.08	2001.12.12	250	3	3	3289
2001.03.22	2001.03.26	137	2	3	3586
2001.12.26	2001.12.26	252	4	2	4084
2001.06.05	2001.06.07	317	4	1	1413
2001.10.15	2001.10.16	361	1	2	1456
2001.01.29	2001.02.01	385	3	1	4884
2001.06.19	2001.06.21	334	3	2	3617
2001.11.14	2001.11.17	367	5	1	3412
2001.05.15	2001.05.15	313	4	3	1280
2002.01.25	2002.01.27	220	6	2	4822
2002.01.14	2002.01.18	255	2	1	795
2001.03.25	2001.03.25	136	4	3	4893
2001.08.19	2001.08.21	123	4	3	2598
2001.08.15	2001.08.16	263	6	2	2267
